timestamp,PLACES_top1,places_top1_conf,PLACES_top2,places_top2_conf,PLACES_top3,places_top3_conf,PLACES_top4,places_top4_conf,PLACES_top5,places_top5_conf,SCENE_TYPE,ACT,ACT_confidence,status_gt,YAMNET_top1,YAMNET_conf_1,YAMNET_top2,YAMNET_conf_2,YAMNET_top3,YAMNET_conf_3,VEHICLE_audio_1,vehicle_audio_conf_1,VEHICLE_audio_2,vehicle_audio_conf_2,VEHICLE_audio_3,vehicle_audio_conf_3,VEHICLE_image_1,vehicle_image_conf_1,VEHICLE_image_2,vehicle_image_conf_2,VEHICLE_image_3,vehicle_image_conf_3,speed_m_s,noise_dB
2025-03-02 21:09:33,bus interior,0.24,car interior,0.13,subway station/platform,0.12,train station/platform,0.09,parking garage/indoor,0.09,indoor,Still,69,Vehicle in Tram,"Outside, rural or natural",0.02,"Inside, small room",0.02,"Inside, large room or hall",0.00,sbahn,0.61,msub,0.35,tram,0.03,tram,0.40,bus,0.15,msub,0.15,0.00,-53.29
2025-03-02 21:09:38,phone booth,0.38,parking garage/indoor,0.22,loading dock,0.08,subway station/platform,0.05,parking lot,0.05,outdoor,Still,69,Vehicle in Tram,"Inside, small room",0.04,"Inside, large room or hall",0.00,Bird,0.00,sbahn,0.93,msub,0.05,osub,0.02,tram,0.40,bus,0.15,msub,0.15,0.80,-54.31
2025-03-02 21:09:43,phone booth,0.25,train station/platform,0.14,subway station/platform,0.14,bank vault,0.09,parking garage/indoor,0.08,indoor,Still,69,Vehicle in Tram,"Inside, small room",0.11,Bird,0.00,"Inside, large room or hall",0.00,sbahn,0.88,msub,0.10,osub,0.01,tram,0.40,bus,0.15,msub,0.15,0.15,-54.33
2025-03-02 21:09:48,bank vault,0.30,subway station/platform,0.10,train station/platform,0.10,phone booth,0.07,parking garage/indoor,0.06,indoor,Still,61,Vehicle in Tram,"Inside, small room",0.11,Bird,0.01,"Inside, large room or hall",0.00,sbahn,0.73,msub,0.26,osub,0.01,tram,0.40,bus,0.15,msub,0.15,0.85,-54.41
2025-03-02 21:09:53,server room,0.35,bank vault,0.12,parking garage/indoor,0.12,subway station/platform,0.04,assembly line,0.03,indoor,Still,61,Vehicle in Tram,"Inside, small room",0.01,"Fire engine, fire truck (siren)",0.00,Toot,0.00,sbahn,0.74,msub,0.24,osub,0.01,tram,0.40,bus,0.15,train,0.15,0.12,-52.80
2025-03-02 21:09:58,parking garage/indoor,0.22,server room,0.15,subway station/platform,0.06,restaurant kitchen,0.06,bank vault,0.04,indoor,Still,61,Vehicle in Tram,"Inside, small room",0.04,Bird,0.01,"Inside, large room or hall",0.00,sbahn,0.69,msub,0.15,osub,0.09,tram,0.40,bus,0.15,msub,0.15,2.19,-50.91
2025-03-02 21:10:03,server room,0.27,bank vault,0.09,parking garage/indoor,0.08,engine room,0.05,assembly line,0.04,indoor,Still,100,Vehicle in Tram,Bird,0.08,"Outside, rural or natural",0.06,"Inside, small room",0.03,sbahn,0.92,bus,0.03,e-bus,0.02,tram,0.40,bus,0.15,msub,0.15,1.77,-44.71
2025-03-02 21:10:08,server room,0.27,bank vault,0.09,parking garage/indoor,0.08,engine room,0.05,assembly line,0.04,indoor,Still,100,Vehicle in Tram,Wind,0.20,Wind noise (microphone),0.15,"Boat, Water vehicle",0.11,msub,0.54,sbahn,0.25,osub,0.16,tram,0.40,bus,0.15,msub,0.15,4.33,-24.11
2025-03-02 21:10:13,subway station/platform,0.28,parking garage/indoor,0.14,restaurant kitchen,0.08,train station/platform,0.06,bank vault,0.06,indoor,Still,100,Vehicle in Tram,"Inside, small room",0.04,"Inside, large room or hall",0.01,"Fire engine, fire truck (siren)",0.00,e-bus,0.49,osub,0.18,sbahn,0.17,tram,0.40,bus,0.15,msub,0.15,5.03,-30.31
2025-03-02 21:10:18,bank vault,0.30,server room,0.23,restaurant kitchen,0.07,engine room,0.03,phone booth,0.03,indoor,Still,100,Vehicle in Tram,"Outside, urban or manmade",0.03,Car,0.03,Bus,0.03,tram,0.66,sbahn,0.13,bus,0.11,tram,0.40,bus,0.15,msub,0.15,5.27,-30.48
