timestamp,PLACES_top1,places_top1_conf,PLACES_top2,places_top2_conf,PLACES_top3,places_top3_conf,PLACES_top4,places_top4_conf,PLACES_top5,places_top5_conf,SCENE_TYPE,ACT,ACT_confidence,status_gt,YAMNET_top1,YAMNET_conf_1,YAMNET_top2,YAMNET_conf_2,YAMNET_top3,YAMNET_conf_3,VEHICLE_audio_1,vehicle_audio_conf_1,VEHICLE_audio_2,vehicle_audio_conf_2,VEHICLE_audio_3,vehicle_audio_conf_3,VEHICLE_image_1,vehicle_image_conf_1,VEHICLE_image_2,vehicle_image_conf_2,VEHICLE_image_3,vehicle_image_conf_3,speed_m_s,noise_dB
2025-02-15 15:00:18,shower,0.66,locker room,0.12,bathroom,0.1,barndoor,0.07,basement,0.01,indoor,Still,100,Indoor with window closed,"Inside, small room",0.02,"Cutlery, silverware",0.0,"Outside, urban or manmade",0.0,e-bus,0.93,osub,0.07,sbahn,0.0,train,0.34,osub,0.18,tram,0.16,0.0,-73.27
2025-02-15 15:00:23,shower,0.63,locker room,0.22,bathroom,0.08,barndoor,0.02,elevator/door,0.01,indoor,Unknown,40,Indoor with window closed,"Inside, small room",0.08,"Outside, rural or natural",0.01,Bird,0.01,sbahn,0.91,msub,0.04,osub,0.02,osub,0.37,train,0.17,msub,0.15,0.0,-64.97
2025-02-15 15:00:28,shower,0.56,locker room,0.22,elevator/door,0.04,bank vault,0.04,bathroom,0.03,indoor,Unknown,40,Indoor with window closed,"Inside, small room",0.04,"Inside, large room or hall",0.0,"Fire engine, fire truck (siren)",0.0,sbahn,0.63,msub,0.36,e-bus,0.0,train,0.25,tram,0.24,osub,0.19,0.0,-45.9
2025-02-15 15:00:33,basement,0.18,shower,0.12,sauna,0.11,bathroom,0.1,dorm room,0.07,indoor,Unknown,40,Indoor with window closed,"Inside, small room",0.02,"Fire engine, fire truck (siren)",0.0,Toot,0.0,sbahn,0.92,msub,0.04,e-bus,0.02,osub,0.27,tram,0.23,train,0.17,0.07,-40.04
2025-02-15 15:00:38,barndoor,0.36,shower,0.16,closet,0.1,elevator/door,0.04,sauna,0.03,outdoor,Unknown,40,Indoor with window closed,"Inside, small room",0.04,"Dishes, pots, and pans",0.0,"Inside, large room or hall",0.0,msub,0.39,osub,0.29,sbahn,0.28,osub,0.36,tram,0.17,train,0.16,0.07,-42.38
2025-02-15 15:00:43,barndoor,0.36,shower,0.16,closet,0.1,elevator/door,0.04,sauna,0.03,outdoor,Unknown,40,Indoor with window closed,"Inside, small room",0.0,"Fire engine, fire truck (siren)",0.0,Toot,0.0,sbahn,0.37,msub,0.28,osub,0.22,osub,0.36,tram,0.17,train,0.16,0.07,-49.01
2025-02-15 15:00:48,shower,0.61,barndoor,0.11,closet,0.05,bathroom,0.04,sauna,0.03,indoor,Unknown,40,Indoor with window closed,"Inside, small room",0.04,"Fire engine, fire truck (siren)",0.0,Toot,0.0,sbahn,0.9,msub,0.09,osub,0.01,osub,0.27,train,0.24,msub,0.17,0.08,-61.68
2025-02-15 15:00:53,shower,0.87,bathroom,0.04,closet,0.04,locker room,0.01,elevator/door,0.0,indoor,Unknown,40,Indoor with window closed,"Inside, small room",0.26,Bird,0.02,Typing,0.01,sbahn,0.37,bus,0.3,e-bus,0.27,osub,0.34,tram,0.18,train,0.17,0.08,-46.67
2025-02-15 15:00:58,shower,0.9,bathroom,0.04,closet,0.03,locker room,0.01,elevator/door,0.01,indoor,Unknown,40,Indoor with window closed,"Inside, small room",0.0,"Fire engine, fire truck (siren)",0.0,Toot,0.0,msub,0.55,sbahn,0.33,e-bus,0.07,osub,0.38,tram,0.16,train,0.15,0.08,-40.31
2025-02-15 15:01:03,shower,0.56,bathroom,0.08,alcove,0.03,clothing store,0.02,jail cell,0.02,indoor,Unknown,40,Indoor with window closed,"Inside, small room",0.11,"Dishes, pots, and pans",0.0,"Inside, large room or hall",0.0,msub,0.61,sbahn,0.28,osub,0.06,osub,0.37,tram,0.16,msub,0.16,0.05,-35.92
2025-02-15 15:01:08,shower,0.39,bank vault,0.12,sauna,0.1,elevator/door,0.07,basement,0.07,indoor,Unknown,40,Indoor with window closed,"Inside, small room",0.01,"Fire engine, fire truck (siren)",0.0,Toot,0.0,sbahn,0.45,msub,0.4,osub,0.11,osub,0.27,tram,0.21,train,0.18,0.05,-41.17
2025-02-15 15:01:13,shower,0.11,sky,0.05,driveway,0.04,basement,0.04,elevator/door,0.03,outdoor,Unknown,40,Indoor with window closed,"Inside, small room",0.08,"Inside, large room or hall",0.03,Slam,0.02,msub,0.39,sbahn,0.34,bus,0.12,osub,0.3,train,0.21,msub,0.17,0.05,-46.0
2025-02-15 15:01:18,bowling alley,0.09,shower,0.09,ballroom,0.06,veterinarians office,0.05,jacuzzi/indoor,0.04,indoor,Unknown,40,Indoor with window closed,"Inside, small room",0.02,"Vehicle horn, car horn, honking",0.0,"Cutlery, silverware",0.0,e-bus,0.59,osub,0.41,tram,0.0,tram,0.31,train,0.19,osub,0.17,0.06,-75.74
2025-02-15 15:01:23,bowling alley,0.09,shower,0.09,ballroom,0.06,veterinarians office,0.05,jacuzzi/indoor,0.04,indoor,Unknown,40,Indoor with window closed,"Inside, small room",0.02,"Vehicle horn, car horn, honking",0.0,"Cutlery, silverware",0.0,sbahn,0.45,msub,0.42,osub,0.06,tram,0.26,train,0.25,osub,0.16,0.06,-74.29
2025-02-15 15:01:28,shower,0.58,jacuzzi/indoor,0.24,bathroom,0.1,dam,0.01,berth,0.01,indoor,Unknown,40,Indoor with window closed,"Inside, small room",0.01,"Cutlery, silverware",0.0,"Outside, urban or manmade",0.0,e-bus,0.86,osub,0.14,sbahn,0.0,train,0.31,tram,0.21,osub,0.16,0.06,-75.19
2025-02-15 15:01:33,jacuzzi/indoor,0.45,shower,0.4,bathroom,0.06,berth,0.01,sauna,0.01,indoor,Unknown,40,Indoor with window closed,"Inside, small room",0.01,"Cutlery, silverware",0.0,"Outside, urban or manmade",0.0,e-bus,0.9,osub,0.1,sbahn,0.0,train,0.31,tram,0.21,osub,0.16,0.07,-75.92
2025-02-15 15:01:38,shower,0.57,basement,0.2,bathroom,0.06,locker room,0.03,sauna,0.03,indoor,Unknown,40,Indoor with window closed,"Inside, small room",0.01,Bird,0.01,"Bird vocalization, bird call, bird song",0.0,e-bus,0.79,osub,0.18,sbahn,0.02,train,0.25,tram,0.25,osub,0.17,0.07,-74.86
2025-02-15 15:01:43,shower,0.44,rope bridge,0.07,construction site,0.07,basement,0.06,barndoor,0.05,indoor,Unknown,40,Indoor with window closed,"Inside, small room",0.08,Bird,0.0,"Inside, large room or hall",0.0,e-bus,0.98,msub,0.01,sbahn,0.0,train,0.32,tram,0.19,osub,0.17,0.07,-65.4
2025-02-15 15:01:48,shower,0.4,basement,0.27,barndoor,0.1,bathroom,0.06,sauna,0.02,indoor,Still,52,Indoor with window closed,"Inside, small room",0.01,"Cutlery, silverware",0.0,"Outside, urban or manmade",0.0,e-bus,0.96,osub,0.04,sbahn,0.0,osub,0.29,train,0.22,tram,0.17,0.12,-76.19
2025-02-15 15:01:53,shower,0.58,locker room,0.09,basement,0.06,bathroom,0.06,barndoor,0.05,indoor,Still,52,Indoor with window closed,"Inside, small room",0.02,"Fire engine, fire truck (siren)",0.0,Train wheels squealing,0.0,e-bus,0.58,osub,0.42,sbahn,0.0,tram,0.33,train,0.18,msub,0.17,0.12,-74.66
2025-02-15 15:01:58,shower,0.5,locker room,0.34,bathroom,0.1,basement,0.02,bank vault,0.01,indoor,Still,52,Indoor with window closed,"Inside, small room",0.02,Train wheels squealing,0.0,"Cutlery, silverware",0.0,msub,0.53,sbahn,0.45,e-bus,0.01,osub,0.34,tram,0.17,train,0.17,0.07,-75.63
2025-02-15 15:02:03,shower,0.55,locker room,0.09,bathroom,0.07,construction site,0.05,barndoor,0.05,indoor,Still,99,Indoor with window closed,"Inside, small room",0.01,"Outside, urban or manmade",0.0,"Cutlery, silverware",0.0,e-bus,0.96,osub,0.04,tram,0.0,train,0.29,tram,0.22,osub,0.17,0.07,-75.62
2025-02-15 15:02:08,shower,0.69,locker room,0.09,bathroom,0.07,bank vault,0.03,basement,0.03,indoor,Still,99,Indoor with window closed,"Inside, small room",0.02,Bird,0.0,"Cutlery, silverware",0.0,e-bus,0.81,osub,0.19,sbahn,0.0,train,0.28,tram,0.23,msub,0.17,0.07,-74.88
2025-02-15 15:02:13,shower,0.69,locker room,0.09,bathroom,0.07,bank vault,0.03,basement,0.03,indoor,Still,99,Indoor with window closed,"Inside, small room",0.08,"Dishes, pots, and pans",0.0,"Inside, large room or hall",0.0,msub,0.52,sbahn,0.48,osub,0.0,bus,0.31,train,0.19,msub,0.17,0.0,-53.88
2025-02-15 15:02:18,bank vault,0.39,jail cell,0.1,shower,0.09,elevator/door,0.07,alley,0.06,indoor,Still,100,Indoor with window closed,"Inside, small room",0.01,Bird,0.0,"Fire engine, fire truck (siren)",0.0,e-bus,0.93,osub,0.07,sbahn,0.0,bus,0.31,train,0.19,msub,0.17,0.11,-76.51
2025-02-15 15:02:23,bank vault,0.56,elevator/door,0.05,barndoor,0.04,construction site,0.03,jail cell,0.03,indoor,Still,100,Indoor with window closed,"Inside, small room",0.02,Motorcycle,0.0,"Fire engine, fire truck (siren)",0.0,sbahn,0.98,msub,0.02,osub,0.0,bus,0.33,train,0.18,osub,0.17,0.11,-51.63
2025-02-15 15:02:28,shower,0.55,elevator/door,0.13,bathroom,0.09,elevator lobby,0.04,bank vault,0.03,indoor,Still,100,Indoor with window closed,"Inside, small room",0.08,"Inside, large room or hall",0.0,"Fire engine, fire truck (siren)",0.0,sbahn,0.91,msub,0.05,osub,0.03,osub,0.32,tram,0.2,bus,0.16,0.0,-49.88
2025-02-15 15:02:33,shower,0.38,elevator/door,0.15,locker room,0.15,bathroom,0.08,sauna,0.08,indoor,Still,100,Indoor with window closed,"Inside, small room",0.01,Train wheels squealing,0.0,"Cutlery, silverware",0.0,e-bus,0.71,osub,0.29,sbahn,0.0,tram,0.4,msub,0.15,train,0.15,0.27,-77.01
2025-02-15 15:02:38,jacuzzi/indoor,0.19,aquarium,0.13,science museum,0.09,bathroom,0.07,natural history museum,0.07,indoor,Unknown,40,Indoor with window closed,"Inside, small room",0.01,"Fire engine, fire truck (siren)",0.0,Train wheels squealing,0.0,e-bus,0.97,osub,0.03,sbahn,0.0,tram,0.35,train,0.18,bus,0.16,0.27,-76.71
2025-02-15 15:02:43,aquarium,0.2,jacuzzi/indoor,0.1,natural history museum,0.08,science museum,0.07,hangar/indoor,0.05,indoor,Unknown,40,Indoor with window closed,"Inside, small room",0.01,"Fire engine, fire truck (siren)",0.0,Train wheels squealing,0.0,e-bus,0.85,osub,0.15,sbahn,0.0,train,0.35,tram,0.18,bus,0.16,0.2,-76.59
2025-02-15 15:02:48,aquarium,0.11,operating room,0.09,science museum,0.08,basement,0.07,hospital room,0.07,indoor,Unknown,40,Indoor with window closed,"Inside, small room",0.03,Bird,0.0,Computer keyboard,0.0,e-bus,0.98,osub,0.02,sbahn,0.0,train,0.27,tram,0.22,bus,0.19,0.2,-74.65
2025-02-15 15:02:53,shower,0.35,bank vault,0.15,elevator/door,0.15,locker room,0.14,elevator lobby,0.05,indoor,Unknown,40,Indoor with window closed,"Inside, small room",0.03,"Fire engine, fire truck (siren)",0.0,Train wheels squealing,0.0,e-bus,0.53,sbahn,0.34,msub,0.11,msub,0.28,bus,0.19,osub,0.18,0.2,-67.32
2025-02-15 15:02:58,bank vault,0.28,shower,0.23,locker room,0.19,bathroom,0.06,elevator/door,0.04,indoor,Unknown,40,Indoor with window closed,"Inside, small room",0.04,Bird,0.0,"Inside, large room or hall",0.0,e-bus,0.97,osub,0.03,sbahn,0.0,tram,0.3,train,0.21,msub,0.18,0.2,-69.8
2025-02-15 15:03:03,bank vault,0.28,shower,0.23,locker room,0.19,bathroom,0.06,elevator/door,0.04,indoor,Unknown,40,Indoor with window closed,"Inside, small room",0.04,Bird,0.0,"Outside, urban or manmade",0.0,e-bus,1.0,msub,0.0,osub,0.0,tram,0.28,train,0.21,msub,0.18,0.08,-70.9
2025-02-15 15:03:08,shower,0.26,bank vault,0.25,elevator/door,0.19,locker room,0.15,elevator lobby,0.06,indoor,Unknown,40,Indoor with window closed,"Inside, small room",0.02,Train wheels squealing,0.0,"Cutlery, silverware",0.0,e-bus,0.94,osub,0.06,sbahn,0.0,tram,0.28,osub,0.19,bus,0.18,0.08,-76.51
2025-02-15 15:03:13,bank vault,0.51,locker room,0.17,shower,0.07,server room,0.06,elevator/door,0.04,indoor,Unknown,40,Indoor with window closed,"Inside, small room",0.04,Typing,0.0,"Vehicle horn, car horn, honking",0.0,e-bus,0.99,sbahn,0.0,msub,0.0,tram,0.22,train,0.21,osub,0.2,1.58,-71.69
2025-02-15 15:03:18,bathroom,0.28,shower,0.27,locker room,0.09,berth,0.06,fabric store,0.04,indoor,Unknown,40,Indoor with window closed,"Inside, small room",0.01,Bird,0.0,"Cutlery, silverware",0.0,e-bus,0.72,osub,0.28,sbahn,0.0,train,0.22,tram,0.21,msub,0.21,0.34,-75.98
2025-02-15 15:03:23,shower,0.48,bathroom,0.22,fabric store,0.07,sauna,0.05,dam,0.03,indoor,Unknown,40,Indoor with window closed,"Inside, small room",0.04,"Fire engine, fire truck (siren)",0.0,Train wheels squealing,0.0,msub,0.76,e-bus,0.23,sbahn,0.0,train,0.37,msub,0.16,tram,0.16,0.34,-66.49
2025-02-15 15:03:28,shower,0.29,bathroom,0.11,fabric store,0.1,crevasse,0.08,sauna,0.08,indoor,Unknown,40,Indoor with window closed,"Inside, small room",0.04,Bird,0.0,"Cutlery, silverware",0.0,msub,0.9,e-bus,0.07,sbahn,0.03,train,0.38,msub,0.16,tram,0.15,0.34,-72.85
2025-02-15 15:03:33,shower,0.49,sauna,0.15,bathroom,0.08,fabric store,0.07,basement,0.05,indoor,Unknown,40,Indoor with window closed,"Inside, small room",0.03,Computer keyboard,0.0,Typing,0.0,e-bus,0.99,osub,0.01,sbahn,0.0,train,0.33,msub,0.19,tram,0.17,0.13,-75.37
2025-02-15 15:03:38,shower,0.58,bathroom,0.08,dam,0.06,fabric store,0.03,sauna,0.03,indoor,Unknown,40,Indoor with window closed,"Inside, small room",0.01,"Cutlery, silverware",0.0,"Outside, urban or manmade",0.0,e-bus,0.97,osub,0.03,sbahn,0.0,train,0.36,tram,0.17,msub,0.16,0.13,-76.7
2025-02-15 15:03:43,shower,0.46,dam,0.09,bathroom,0.08,fabric store,0.07,clothing store,0.03,indoor,Unknown,40,Indoor with window closed,"Inside, small room",0.01,Bird,0.0,"Fire engine, fire truck (siren)",0.0,e-bus,0.86,osub,0.14,sbahn,0.0,train,0.33,tram,0.19,msub,0.17,0.13,-76.28
2025-02-15 15:03:48,shower,0.46,dam,0.09,bathroom,0.08,fabric store,0.07,clothing store,0.03,indoor,Unknown,40,Indoor with window closed,Bird,0.0,"Inside, small room",0.0,"Outside, rural or natural",0.0,e-bus,0.93,osub,0.07,sbahn,0.0,train,0.35,tram,0.18,msub,0.16,0.05,-75.98
2025-02-15 15:03:53,shower,0.39,fabric store,0.14,bathroom,0.08,elevator shaft,0.07,sauna,0.04,indoor,Unknown,40,Indoor with window closed,"Inside, small room",0.04,"Inside, large room or hall",0.01,Bird,0.0,sbahn,0.92,msub,0.08,osub,0.0,train,0.35,tram,0.18,msub,0.16,0.05,-53.63
2025-02-15 15:03:58,crevasse,0.5,fabric store,0.14,clothing store,0.04,dressing room,0.03,closet,0.03,outdoor,Unknown,40,Indoor with window closed,"Inside, small room",0.01,"Cutlery, silverware",0.0,"Outside, urban or manmade",0.0,e-bus,0.99,osub,0.01,sbahn,0.0,bus,0.27,train,0.24,tram,0.17,0.05,-76.58
2025-02-15 15:04:04,bank vault,0.22,shower,0.16,construction site,0.13,alley,0.04,clothing store,0.03,indoor,Unknown,40,Indoor with window closed,"Inside, small room",0.01,"Cutlery, silverware",0.0,"Outside, urban or manmade",0.0,e-bus,0.89,osub,0.11,sbahn,0.0,train,0.36,bus,0.17,tram,0.16,0.1,-76.27
