timestamp,PLACES_top1,places_top1_conf,PLACES_top2,places_top2_conf,PLACES_top3,places_top3_conf,PLACES_top4,places_top4_conf,PLACES_top5,places_top5_conf,SCENE_TYPE,ACT,ACT_confidence,status_gt,YAMNET_top1,YAMNET_conf_1,YAMNET_top2,YAMNET_conf_2,YAMNET_top3,YAMNET_conf_3,VEHICLE_audio_1,vehicle_audio_conf_1,VEHICLE_audio_2,vehicle_audio_conf_2,VEHICLE_audio_3,vehicle_audio_conf_3,VEHICLE_image_1,vehicle_image_conf_1,VEHICLE_image_2,vehicle_image_conf_2,VEHICLE_image_3,vehicle_image_conf_3,speed_m_s,noise_dB
2025-02-15 16:00:20,repair shop,0.08,stable,0.07,staircase,0.07,grotto,0.05,catacomb,0.04,indoor,In Vehicle,84,Indoor in Subway-Station,Train,0.59,"Subway, metro, underground",0.50,"Railroad car, train wagon",0.41,msub,0.90,sbahn,0.08,osub,0.01,tram,0.32,train,0.19,msub,0.17,0.00,-32.52
2025-02-15 16:00:25,subway station/platform,0.77,train station/platform,0.23,railroad track,0.00,train interior,0.00,bus station/indoor,0.00,indoor,Still,51,Indoor in Subway-Station,"Inside, large room or hall",0.03,"Inside, public space",0.02,"Subway, metro, underground",0.01,e-bus,0.35,msub,0.34,osub,0.28,tram,0.29,msub,0.21,train,0.18,0.00,-28.41
2025-02-15 16:00:30,subway station/platform,0.77,train station/platform,0.12,restaurant kitchen,0.01,airport terminal,0.01,supermarket,0.01,indoor,Still,51,Indoor in Subway-Station,"Inside, large room or hall",0.00,"Fire engine, fire truck (siren)",0.00,Toot,0.00,msub,0.96,osub,0.02,e-bus,0.01,msub,0.31,tram,0.22,train,0.16,0.00,-31.93
2025-02-15 16:00:35,subway station/platform,0.77,train station/platform,0.12,restaurant kitchen,0.01,airport terminal,0.01,supermarket,0.01,indoor,Still,100,Indoor in Subway-Station,"Inside, large room or hall",0.01,"Inside, small room",0.00,"Fire engine, fire truck (siren)",0.00,msub,0.78,sbahn,0.14,osub,0.05,tram,0.29,msub,0.23,train,0.16,0.00,-35.34
2025-02-15 16:00:40,subway station/platform,0.71,train station/platform,0.18,bus station/indoor,0.04,stable,0.01,airport terminal,0.01,indoor,Still,100,Indoor in Subway-Station,Bird,0.15,"Pigeon, dove",0.06,"Inside, small room",0.04,sbahn,0.67,msub,0.22,tram,0.06,tram,0.32,msub,0.20,bus,0.16,0.00,-40.61
2025-02-15 16:00:45,subway station/platform,0.93,train station/platform,0.03,home theater,0.01,bowling alley,0.00,airport terminal,0.00,indoor,Still,100,Indoor in Subway-Station,"Outside, rural or natural",0.15,Wind,0.11,Rustling leaves,0.06,sbahn,0.49,msub,0.28,osub,0.14,tram,0.32,msub,0.20,bus,0.16,0.00,-36.92
2025-02-15 16:00:50,subway station/platform,0.40,train station/platform,0.35,loading dock,0.02,highway,0.02,bowling alley,0.01,indoor,Still,50,Indoor in Subway-Station,Bird,0.01,"Outside, urban or manmade",0.01,"Outside, rural or natural",0.01,msub,0.75,sbahn,0.19,osub,0.04,tram,0.36,train,0.17,msub,0.16,0.00,-41.09
2025-02-15 16:00:55,subway station/platform,0.27,loading dock,0.25,train station/platform,0.23,railroad track,0.04,lock chamber,0.03,indoor,Still,50,Indoor in Subway-Station,"Outside, urban or manmade",0.03,"Outside, rural or natural",0.03,Bird,0.02,msub,0.91,osub,0.07,tram,0.01,train,0.34,tram,0.18,msub,0.16,0.00,-16.95
2025-02-15 16:01:00,subway station/platform,0.42,server room,0.17,archive,0.05,music studio,0.03,train station/platform,0.02,indoor,Still,50,Indoor in Subway-Station,"Outside, rural or natural",0.08,"Outside, urban or manmade",0.01,Rustling leaves,0.00,msub,0.32,tram,0.31,sbahn,0.20,msub,0.34,tram,0.19,osub,0.16,0.00,-37.44
2025-02-15 16:01:05,subway station/platform,0.74,train station/platform,0.11,escalator/indoor,0.06,elevator shaft,0.02,engine room,0.01,indoor,Unknown,40,Indoor in Subway-Station,"Outside, rural or natural",0.02,Bird,0.01,"Pigeon, dove",0.00,msub,0.95,e-bus,0.02,tram,0.01,msub,0.39,tram,0.16,train,0.15,0.00,-34.11
