timestamp,PLACES_top1,places_top1_conf,PLACES_top2,places_top2_conf,PLACES_top3,places_top3_conf,PLACES_top4,places_top4_conf,PLACES_top5,places_top5_conf,SCENE_TYPE,ACT,ACT_confidence,status_gt,YAMNET_top1,YAMNET_conf_1,YAMNET_top2,YAMNET_conf_2,YAMNET_top3,YAMNET_conf_3,VEHICLE_audio_1,vehicle_audio_conf_1,VEHICLE_audio_2,vehicle_audio_conf_2,VEHICLE_audio_3,vehicle_audio_conf_3,VEHICLE_image_1,vehicle_image_conf_1,VEHICLE_image_2,vehicle_image_conf_2,VEHICLE_image_3,vehicle_image_conf_3,speed_m_s,noise_dB
2025-02-16 18:11:19,elevator shaft,0.48,staircase,0.23,basement,0.04,corridor,0.03,escalator/indoor,0.03,indoor,Unknown,40,Indoor in Subway-Station,"Inside, large room or hall",0.02,"Inside, public space",0.01,"Fire engine, fire truck (siren)",0.00,msub,0.83,sbahn,0.08,osub,0.05,tram,0.38,msub,0.16,train,0.15,0.00,-38.61
2025-02-16 18:11:24,parking garage/indoor,0.16,coast,0.08,desert/vegetation,0.07,beach,0.06,sky,0.05,outdoor,Unknown,40,Indoor in Subway-Station,"Inside, small room",0.11,"Inside, large room or hall",0.02,"Outside, rural or natural",0.01,e-bus,0.34,sbahn,0.27,msub,0.21,msub,0.34,train,0.18,tram,0.17,0.00,-39.90
2025-02-16 18:11:29,parking garage/indoor,0.78,subway station/platform,0.12,bus station/indoor,0.03,airport terminal,0.02,train station/platform,0.01,indoor,Unknown,40,Indoor in Subway-Station,"Inside, small room",0.02,"Inside, large room or hall",0.01,Bird,0.01,msub,0.69,sbahn,0.24,e-bus,0.04,tram,0.26,msub,0.26,train,0.16,0.22,-39.09
2025-02-16 18:11:34,parking garage/indoor,0.49,subway station/platform,0.06,basement,0.04,airport terminal,0.04,arena/rodeo,0.03,indoor,On Foot,88,Indoor in Subway-Station,"Inside, public space",0.02,"Inside, large room or hall",0.01,"Fire engine, fire truck (siren)",0.00,msub,0.92,e-bus,0.04,sbahn,0.02,tram,0.26,train,0.23,msub,0.19,0.27,-36.14
2025-02-16 18:11:39,airplane cabin,0.10,escalator/indoor,0.09,berth,0.09,bowling alley,0.09,train interior,0.05,indoor,On Foot,88,Indoor in Subway-Station,Bird,0.03,"Pigeon, dove",0.02,"Outside, rural or natural",0.02,sbahn,0.34,bus,0.20,e-bus,0.15,tram,0.40,train,0.15,msub,0.15,0.45,-37.39
2025-02-16 18:11:44,airplane cabin,0.10,escalator/indoor,0.09,berth,0.09,bowling alley,0.09,train interior,0.05,indoor,On Foot,88,Indoor in Subway-Station,"Inside, large room or hall",0.02,"Inside, small room",0.01,"Inside, public space",0.00,e-bus,0.75,msub,0.12,osub,0.05,tram,0.30,msub,0.23,bus,0.16,0.44,-37.00
2025-02-16 18:11:49,elevator shaft,0.49,basement,0.08,attic,0.04,staircase,0.04,catacomb,0.03,indoor,On Foot,88,Indoor in Subway-Station,"Inside, large room or hall",0.01,"Inside, public space",0.01,"Fire engine, fire truck (siren)",0.00,msub,0.92,e-bus,0.07,osub,0.01,tram,0.30,msub,0.23,bus,0.16,0.44,-38.27
2025-02-16 18:11:54,crosswalk,0.09,alley,0.08,street,0.06,repair shop,0.05,berth,0.04,outdoor,Unknown,40,Indoor in Subway-Station,"Pigeon, dove",0.01,Bird,0.01,"Outside, urban or manmade",0.00,msub,0.87,e-bus,0.05,sbahn,0.04,tram,0.40,msub,0.15,bus,0.15,0.09,-39.56
2025-02-16 18:11:59,escalator/indoor,0.09,science museum,0.09,harbor,0.06,repair shop,0.05,natural history museum,0.04,indoor,Unknown,40,Indoor in Subway-Station,"Inside, large room or hall",0.02,"Inside, public space",0.00,"Fire engine, fire truck (siren)",0.00,msub,0.95,e-bus,0.03,osub,0.01,tram,0.40,bus,0.15,msub,0.15,0.11,-40.04
2025-02-16 18:12:04,windmill,0.43,natural history museum,0.09,science museum,0.07,fire escape,0.03,construction site,0.03,outdoor,Unknown,40,Indoor in Subway-Station,"Inside, large room or hall",0.01,"Outside, urban or manmade",0.00,"Inside, public space",0.00,msub,0.95,osub,0.02,e-bus,0.01,tram,0.37,msub,0.16,bus,0.16,0.11,-37.59
