timestamp,PLACES_top1,places_top1_conf,PLACES_top2,places_top2_conf,PLACES_top3,places_top3_conf,PLACES_top4,places_top4_conf,PLACES_top5,places_top5_conf,SCENE_TYPE,ACT,ACT_confidence,status_gt,YAMNET_top1,YAMNET_conf_1,YAMNET_top2,YAMNET_conf_2,YAMNET_top3,YAMNET_conf_3,VEHICLE_audio_1,vehicle_audio_conf_1,VEHICLE_audio_2,vehicle_audio_conf_2,VEHICLE_audio_3,vehicle_audio_conf_3,VEHICLE_image_1,vehicle_image_conf_1,VEHICLE_image_2,vehicle_image_conf_2,VEHICLE_image_3,vehicle_image_conf_3,speed_m_s,noise_dB
2025-02-16 18:37:41,elevator/door,0.50,shower,0.19,basement,0.03,elevator lobby,0.03,corridor,0.03,indoor,On Foot,98,Indoor with window closed,Train,0.03,"Railroad car, train wagon",0.02,"Outside, rural or natural",0.02,msub,0.92,sbahn,0.05,tram,0.01,osub,0.29,msub,0.21,train,0.17,0.00,-38.45
2025-02-16 18:37:46,elevator/door,0.48,shower,0.23,bank vault,0.19,elevator lobby,0.04,basement,0.02,indoor,On Foot,98,Indoor with window closed,"Inside, small room",0.06,Bird,0.00,Train wheels squealing,0.00,e-bus,0.94,osub,0.03,msub,0.02,osub,0.25,bus,0.22,msub,0.20,0.56,-67.33
2025-02-16 18:37:51,elevator/door,0.65,bank vault,0.16,shower,0.09,elevator lobby,0.08,basement,0.01,indoor,On Foot,98,Indoor with window closed,"Inside, small room",0.11,Bird,0.02,"Outside, rural or natural",0.02,sbahn,0.95,msub,0.03,e-bus,0.01,osub,0.27,msub,0.23,bus,0.18,0.56,-49.58
2025-02-16 18:37:56,elevator/door,0.82,bank vault,0.07,elevator lobby,0.06,shower,0.04,basement,0.00,indoor,Unknown,40,Indoor with window closed,"Outside, rural or natural",0.06,"Inside, small room",0.06,Bird,0.02,sbahn,0.95,msub,0.04,tram,0.00,bus,0.30,osub,0.21,msub,0.17,0.25,-44.58
2025-02-16 18:38:01,elevator/door,0.59,shower,0.20,bank vault,0.12,elevator lobby,0.06,basement,0.01,indoor,Unknown,40,Indoor with window closed,"Inside, small room",0.06,Tap,0.00,"Inside, large room or hall",0.00,sbahn,0.54,e-bus,0.26,osub,0.18,bus,0.31,osub,0.20,msub,0.18,0.24,-41.19
2025-02-16 18:38:06,elevator/door,0.59,shower,0.20,bank vault,0.12,elevator lobby,0.06,basement,0.01,indoor,Unknown,40,Indoor with window closed,"Inside, small room",0.11,"Dishes, pots, and pans",0.01,"Inside, large room or hall",0.01,sbahn,0.46,msub,0.32,e-bus,0.09,msub,0.39,osub,0.15,tram,0.15,0.12,-41.45
2025-02-16 18:38:11,corridor,0.36,elevator lobby,0.12,elevator/door,0.12,bank vault,0.11,phone booth,0.06,indoor,Unknown,40,Indoor with window closed,"Inside, small room",0.08,Bird,0.02,"Outside, rural or natural",0.01,sbahn,0.96,osub,0.02,msub,0.01,msub,0.39,osub,0.15,tram,0.15,0.77,-45.32
2025-02-16 18:38:16,catacomb,0.34,sky,0.29,desert/vegetation,0.06,elevator shaft,0.03,jail cell,0.02,outdoor,Unknown,40,Indoor with window closed,"Outside, rural or natural",0.15,Rustling leaves,0.06,Bird,0.03,msub,0.97,sbahn,0.02,tram,0.00,osub,0.38,msub,0.16,bus,0.16,0.34,-59.05
2025-02-16 18:38:21,corridor,0.15,alcove,0.05,alley,0.04,porch,0.03,entrance hall,0.03,indoor,Unknown,40,Indoor with window closed,"Inside, small room",0.15,"Outside, rural or natural",0.03,Rustling leaves,0.03,msub,0.79,sbahn,0.19,tram,0.02,bus,0.31,osub,0.18,tram,0.17,0.14,-48.00
2025-02-16 18:38:26,parking garage/indoor,0.31,berth,0.16,garage/indoor,0.13,hangar/indoor,0.03,pantry,0.03,indoor,Unknown,40,Indoor with window closed,"Outside, rural or natural",0.26,Rustling leaves,0.20,Wind,0.11,sbahn,0.63,msub,0.23,tram,0.10,msub,0.36,train,0.17,osub,0.16,0.15,-39.51
