timestamp,PLACES_top1,places_top1_conf,PLACES_top2,places_top2_conf,PLACES_top3,places_top3_conf,PLACES_top4,places_top4_conf,PLACES_top5,places_top5_conf,SCENE_TYPE,ACT,ACT_confidence,status_gt,YAMNET_top1,YAMNET_conf_1,YAMNET_top2,YAMNET_conf_2,YAMNET_top3,YAMNET_conf_3,VEHICLE_audio_1,vehicle_audio_conf_1,VEHICLE_audio_2,vehicle_audio_conf_2,VEHICLE_audio_3,vehicle_audio_conf_3,VEHICLE_image_1,vehicle_image_conf_1,VEHICLE_image_2,vehicle_image_conf_2,VEHICLE_image_3,vehicle_image_conf_3,speed_m_s,noise_dB
2025-02-15 18:31:57,locker room,0.36,sauna,0.18,basement,0.05,shower,0.04,closet,0.02,indoor,Still,100,Indoor with window closed,"Inside, small room",0.15,"Inside, large room or hall",0.00,"Outside, urban or manmade",0.00,sbahn,0.96,msub,0.02,osub,0.01,osub,0.40,train,0.15,bus,0.15,0.13,-51.53
2025-02-15 18:32:02,locker room,0.36,sauna,0.18,basement,0.05,shower,0.04,closet,0.02,indoor,Still,100,Indoor with window closed,"Inside, small room",0.03,Bird,0.00,"Cutlery, silverware",0.00,e-bus,0.79,osub,0.16,msub,0.03,osub,0.40,train,0.15,bus,0.15,0.01,-71.67
2025-02-15 18:32:07,locker room,0.30,dressing room,0.06,closet,0.05,sauna,0.05,music studio,0.04,indoor,Still,100,Indoor with window closed,"Inside, small room",0.06,"Fire engine, fire truck (siren)",0.00,Air brake,0.00,sbahn,0.70,msub,0.29,osub,0.01,osub,0.39,bus,0.16,train,0.15,0.17,-58.07
2025-02-15 18:32:12,locker room,0.31,sauna,0.16,shower,0.15,closet,0.04,basement,0.02,indoor,Still,100,Indoor with window closed,"Inside, small room",0.06,Bird,0.01,"Outside, rural or natural",0.00,sbahn,0.54,msub,0.45,osub,0.00,osub,0.39,bus,0.15,train,0.15,0.17,-67.15
2025-02-15 18:32:17,elevator/door,0.32,shower,0.21,sauna,0.11,closet,0.10,barndoor,0.07,indoor,Still,100,Indoor with window closed,"Inside, small room",0.04,"Fire engine, fire truck (siren)",0.00,Toot,0.00,sbahn,0.80,msub,0.16,osub,0.03,osub,0.39,msub,0.15,train,0.15,0.01,-52.42
2025-02-15 18:32:22,elevator/door,0.45,shower,0.17,closet,0.11,sauna,0.10,elevator lobby,0.05,indoor,Still,100,Indoor with window closed,"Inside, small room",0.02,"Fire engine, fire truck (siren)",0.00,Toot,0.00,sbahn,0.85,msub,0.14,osub,0.01,osub,0.37,train,0.17,msub,0.15,0.04,-45.53
2025-02-15 18:32:27,elevator/door,0.37,sauna,0.14,closet,0.13,barndoor,0.08,shower,0.07,indoor,Still,100,Indoor with window closed,"Inside, small room",0.02,"Cutlery, silverware",0.00,"Outside, urban or manmade",0.00,e-bus,0.89,osub,0.11,sbahn,0.00,osub,0.38,train,0.16,bus,0.15,0.04,-75.31
2025-02-15 18:32:32,elevator/door,0.40,shower,0.20,closet,0.07,sauna,0.07,locker room,0.06,indoor,Still,100,Indoor with window closed,"Inside, small room",0.01,"Fire engine, fire truck (siren)",0.00,Toot,0.00,sbahn,0.68,msub,0.32,osub,0.01,osub,0.36,msub,0.17,bus,0.16,0.00,-52.93
2025-02-15 18:32:37,elevator/door,0.52,shower,0.10,sauna,0.09,closet,0.08,elevator lobby,0.05,indoor,Still,100,Indoor with window closed,"Inside, small room",0.02,"Fire engine, fire truck (siren)",0.00,Air brake,0.00,sbahn,0.86,msub,0.11,osub,0.01,osub,0.36,train,0.17,msub,0.16,0.11,-61.02
2025-02-15 18:32:42,elevator/door,0.35,shower,0.22,sauna,0.15,elevator lobby,0.07,closet,0.06,indoor,Still,100,Indoor with window closed,"Inside, small room",0.08,"Inside, large room or hall",0.00,"Outside, urban or manmade",0.00,sbahn,0.61,msub,0.38,osub,0.01,osub,0.37,train,0.17,bus,0.16,0.11,-56.32
2025-02-15 18:32:47,elevator/door,0.35,shower,0.22,sauna,0.15,elevator lobby,0.07,closet,0.06,indoor,Still,100,Indoor with window closed,"Inside, small room",0.02,"Fire engine, fire truck (siren)",0.00,Toot,0.00,sbahn,0.88,msub,0.12,osub,0.00,osub,0.40,train,0.15,bus,0.15,0.00,-55.67
