timestamp,PLACES_top1,places_top1_conf,PLACES_top2,places_top2_conf,PLACES_top3,places_top3_conf,PLACES_top4,places_top4_conf,PLACES_top5,places_top5_conf,SCENE_TYPE,ACT,ACT_confidence,status_gt,YAMNET_top1,YAMNET_conf_1,YAMNET_top2,YAMNET_conf_2,YAMNET_top3,YAMNET_conf_3,VEHICLE_audio_1,vehicle_audio_conf_1,VEHICLE_audio_2,vehicle_audio_conf_2,VEHICLE_audio_3,vehicle_audio_conf_3,VEHICLE_image_1,vehicle_image_conf_1,VEHICLE_image_2,vehicle_image_conf_2,VEHICLE_image_3,vehicle_image_conf_3,speed_m_s,noise_dB
2025-02-17 16:16:58,berth,0.71,airplane cabin,0.02,hospital room,0.02,operating room,0.02,car interior,0.02,indoor,On Foot,94,Indoor with window open,"Inside, small room",0.06,"Inside, large room or hall",0.01,Bird,0.01,sbahn,0.94,msub,0.03,e-bus,0.01,msub,0.40,train,0.15,bus,0.15,0.00,-56.16
2025-02-17 16:17:03,berth,0.81,galley,0.08,boat deck,0.03,bathroom,0.01,kitchen,0.01,indoor,On Foot,94,Indoor with window open,"Inside, small room",0.03,"Inside, large room or hall",0.00,"Cutlery, silverware",0.00,sbahn,0.83,msub,0.10,bus,0.04,msub,0.34,bus,0.19,train,0.16,0.58,-58.68
2025-02-17 16:17:08,berth,0.77,galley,0.08,boat deck,0.03,bathroom,0.02,kitchen,0.01,indoor,On Foot,94,Indoor with window open,"Inside, small room",0.11,Bird,0.02,Typing,0.01,sbahn,0.71,msub,0.19,osub,0.03,msub,0.34,bus,0.19,train,0.16,0.00,-59.17
2025-02-17 16:17:13,berth,0.81,galley,0.06,boat deck,0.02,bathroom,0.02,kitchen,0.01,indoor,Still,100,Indoor with window open,"Inside, small room",0.08,"Inside, large room or hall",0.00,"Outside, urban or manmade",0.00,e-bus,0.70,msub,0.16,sbahn,0.07,msub,0.34,bus,0.19,train,0.16,0.00,-59.71
2025-02-17 16:17:18,berth,0.83,galley,0.05,boat deck,0.02,bathroom,0.02,kitchen,0.01,indoor,Still,100,Indoor with window open,"Inside, small room",0.02,Bird,0.01,"Bird vocalization, bird call, bird song",0.00,sbahn,0.83,msub,0.14,bus,0.01,msub,0.32,bus,0.20,train,0.16,1.55,-60.39
2025-02-17 16:17:23,berth,0.83,galley,0.06,boat deck,0.02,bathroom,0.01,office,0.01,indoor,Still,100,Indoor with window open,"Inside, small room",0.03,"Inside, large room or hall",0.00,"Cutlery, silverware",0.00,sbahn,0.93,msub,0.06,osub,0.01,msub,0.30,bus,0.22,train,0.16,0.03,-60.40
2025-02-17 16:17:28,berth,0.83,galley,0.06,boat deck,0.02,bathroom,0.01,office,0.01,indoor,Still,100,Indoor with window open,"Inside, small room",0.04,"Outside, rural or natural",0.02,Bird,0.01,sbahn,0.96,msub,0.02,tram,0.00,msub,0.30,bus,0.22,train,0.16,0.24,-58.34
2025-02-17 16:17:33,berth,0.66,galley,0.10,boat deck,0.05,office,0.02,bathroom,0.02,indoor,Still,100,Indoor with window open,"Outside, rural or natural",0.11,Bird,0.02,"Inside, small room",0.01,sbahn,0.62,msub,0.35,tram,0.02,msub,0.34,bus,0.19,train,0.16,1.61,-54.11
2025-02-17 16:17:38,sky,0.18,desert/vegetation,0.14,ocean,0.06,beach,0.04,volcano,0.04,outdoor,Still,100,Indoor with window open,"Outside, rural or natural",0.08,"Inside, small room",0.02,Bird,0.01,sbahn,0.70,msub,0.23,tram,0.03,osub,0.29,bus,0.20,tram,0.18,0.74,-60.77
2025-02-17 16:17:43,television room,0.35,dorm room,0.12,bedroom,0.09,living room,0.06,home office,0.04,indoor,Still,100,Indoor with window open,"Inside, small room",0.02,Bird,0.00,"Outside, rural or natural",0.00,sbahn,0.61,msub,0.31,tram,0.03,tram,0.37,osub,0.16,train,0.16,0.10,-63.42
2025-02-17 16:17:48,dorm room,0.18,loading dock,0.17,bedroom,0.07,television room,0.06,garage/indoor,0.04,indoor,Still,100,Indoor with window open,"Inside, small room",0.06,Bird,0.01,"Outside, rural or natural",0.01,msub,0.58,sbahn,0.26,tram,0.07,tram,0.38,train,0.16,bus,0.15,0.07,-61.15
2025-02-17 16:17:53,childs room,0.17,dorm room,0.16,bedroom,0.15,bedchamber,0.11,television room,0.10,indoor,Still,65,Indoor with window open,"Outside, rural or natural",0.01,"Inside, small room",0.01,Bird,0.01,msub,0.85,e-bus,0.08,osub,0.06,bus,0.24,train,0.22,tram,0.21,0.07,-64.09
2025-02-17 16:17:58,bedchamber,0.20,bedroom,0.20,dorm room,0.14,television room,0.10,childs room,0.08,indoor,Still,65,Indoor with window open,"Inside, small room",0.08,Typing,0.01,Computer keyboard,0.01,e-bus,0.60,msub,0.21,sbahn,0.15,train,0.27,tram,0.22,bus,0.19,0.55,-65.61
2025-02-17 16:18:03,bedroom,0.14,dorm room,0.13,bedchamber,0.09,loading dock,0.09,childs room,0.05,indoor,Still,65,Indoor with window open,Bird,0.02,"Outside, rural or natural",0.02,"Bird vocalization, bird call, bird song",0.01,msub,0.61,sbahn,0.36,osub,0.01,tram,0.39,train,0.16,bus,0.15,0.55,-62.70
2025-02-17 16:18:08,bedroom,0.14,television room,0.12,dorm room,0.10,bedchamber,0.09,loading dock,0.09,indoor,Still,100,Indoor with window open,"Inside, small room",0.01,Bird,0.00,"Cutlery, silverware",0.00,e-bus,0.61,osub,0.38,msub,0.01,tram,0.37,train,0.17,bus,0.16,0.24,-64.18
2025-02-17 16:18:13,bedroom,0.14,television room,0.12,dorm room,0.10,bedchamber,0.09,loading dock,0.09,indoor,Still,100,Indoor with window open,"Inside, small room",0.01,Bird,0.00,"Fire engine, fire truck (siren)",0.00,e-bus,0.88,osub,0.12,sbahn,0.00,tram,0.38,train,0.16,bus,0.15,0.24,-66.78
2025-02-17 16:18:18,television room,0.11,dorm room,0.11,bedroom,0.10,loading dock,0.09,garage/indoor,0.07,indoor,Still,100,Indoor with window open,"Inside, small room",0.01,Bird,0.00,"Cutlery, silverware",0.00,e-bus,0.86,msub,0.06,osub,0.06,tram,0.38,train,0.16,bus,0.15,0.04,-68.28
