timestamp,PLACES_top1,places_top1_conf,PLACES_top2,places_top2_conf,PLACES_top3,places_top3_conf,PLACES_top4,places_top4_conf,PLACES_top5,places_top5_conf,SCENE_TYPE,ACT,ACT_confidence,status_gt,YAMNET_top1,YAMNET_conf_1,YAMNET_top2,YAMNET_conf_2,YAMNET_top3,YAMNET_conf_3,VEHICLE_audio_1,vehicle_audio_conf_1,VEHICLE_audio_2,vehicle_audio_conf_2,VEHICLE_audio_3,vehicle_audio_conf_3,VEHICLE_image_1,vehicle_image_conf_1,VEHICLE_image_2,vehicle_image_conf_2,VEHICLE_image_3,vehicle_image_conf_3,speed_m_s,noise_dB
2025-02-17 16:28:40,dorm room,0.33,berth,0.17,youth hostel,0.12,bedroom,0.07,attic,0.06,indoor,Still,100,Indoor with window open,Bird,0.03,"Outside, rural or natural",0.02,Wind,0.01,sbahn,0.37,msub,0.27,bus,0.27,train,0.23,bus,0.21,msub,0.20,0.00,-50.24
2025-02-17 16:28:45,hangar/outdoor,0.29,boat deck,0.15,berth,0.06,ski resort,0.03,campsite,0.03,outdoor,Still,100,Indoor with window open,"Inside, small room",0.01,Bird,0.00,"Cutlery, silverware",0.00,msub,0.42,osub,0.39,e-bus,0.17,msub,0.24,bus,0.22,tram,0.19,0.00,-56.99
2025-02-17 16:28:50,berth,0.25,stage/outdoor,0.15,closet,0.11,dorm room,0.07,hangar/outdoor,0.06,indoor,Still,100,Indoor with window open,Bird,0.00,"Inside, small room",0.00,"Fire engine, fire truck (siren)",0.00,osub,0.47,e-bus,0.44,msub,0.05,train,0.26,msub,0.24,bus,0.17,0.00,-64.73
2025-02-17 16:28:55,hangar/outdoor,0.11,volcano,0.07,berth,0.07,boat deck,0.06,ski resort,0.05,outdoor,Still,100,Indoor with window open,"Inside, small room",0.02,Bird,0.00,"Cutlery, silverware",0.00,e-bus,0.64,osub,0.29,msub,0.06,train,0.29,bus,0.19,tram,0.18,0.02,-64.25
2025-02-17 16:29:00,berth,0.25,closet,0.12,dorm room,0.10,stage/outdoor,0.07,campsite,0.06,indoor,Still,100,Indoor with window open,"Inside, small room",0.06,Bird,0.00,"Outside, urban or manmade",0.00,sbahn,0.96,msub,0.04,bus,0.00,train,0.24,bus,0.23,msub,0.21,0.02,-57.98
2025-02-17 16:29:05,berth,0.14,dorm room,0.10,closet,0.10,ski resort,0.07,boat deck,0.06,indoor,Still,100,Indoor with window open,"Inside, small room",0.02,"Cutlery, silverware",0.00,"Outside, urban or manmade",0.00,osub,0.53,e-bus,0.46,sbahn,0.00,train,0.23,msub,0.23,bus,0.21,0.03,-69.73
2025-02-17 16:29:10,berth,0.14,dorm room,0.10,closet,0.10,ski resort,0.07,boat deck,0.06,indoor,Still,100,Indoor with window open,"Inside, small room",0.11,Computer keyboard,0.00,Typing,0.00,sbahn,0.86,msub,0.12,osub,0.01,train,0.23,msub,0.23,bus,0.21,0.03,-60.92
2025-02-17 16:29:15,dorm room,0.21,berth,0.19,closet,0.12,stage/outdoor,0.07,bedroom,0.04,indoor,Still,100,Indoor with window open,"Inside, small room",0.01,Bird,0.00,"Outside, rural or natural",0.00,msub,0.80,sbahn,0.16,e-bus,0.02,train,0.31,bus,0.20,msub,0.17,0.01,-69.46
2025-02-17 16:29:20,dorm room,0.21,berth,0.16,stage/outdoor,0.06,closet,0.05,campsite,0.05,indoor,Still,100,Indoor with window open,"Inside, small room",0.02,"Fire engine, fire truck (siren)",0.00,Train wheels squealing,0.00,e-bus,0.61,msub,0.21,osub,0.15,train,0.37,msub,0.16,bus,0.16,0.01,-68.19
2025-02-17 16:29:25,berth,0.43,dorm room,0.12,closet,0.06,campsite,0.04,bedroom,0.04,indoor,Still,100,Indoor with window open,"Inside, small room",0.02,"Vehicle horn, car horn, honking",0.00,Bird,0.00,sbahn,0.79,msub,0.17,osub,0.03,train,0.34,msub,0.18,bus,0.17,0.00,-52.14
2025-02-17 16:29:30,berth,0.35,dorm room,0.15,closet,0.09,bedroom,0.06,hotel room,0.05,indoor,Still,100,Indoor with window open,"Outside, rural or natural",0.04,"Inside, small room",0.04,Bird,0.02,sbahn,0.34,bus,0.26,e-bus,0.24,msub,0.24,train,0.23,bus,0.21,0.03,-60.98
2025-02-17 16:29:35,dorm room,0.57,bedroom,0.12,childs room,0.08,attic,0.03,gymnasium/indoor,0.03,indoor,Still,100,Indoor with window open,"Inside, small room",0.06,Bird,0.02,"Bird vocalization, bird call, bird song",0.01,sbahn,0.58,msub,0.18,tram,0.08,bus,0.31,tram,0.21,train,0.16,0.03,-53.42
