timestamp,PLACES_top1,places_top1_conf,PLACES_top2,places_top2_conf,PLACES_top3,places_top3_conf,PLACES_top4,places_top4_conf,PLACES_top5,places_top5_conf,SCENE_TYPE,ACT,ACT_confidence,status_gt,YAMNET_top1,YAMNET_conf_1,YAMNET_top2,YAMNET_conf_2,YAMNET_top3,YAMNET_conf_3,VEHICLE_audio_1,vehicle_audio_conf_1,VEHICLE_audio_2,vehicle_audio_conf_2,VEHICLE_audio_3,vehicle_audio_conf_3,VEHICLE_image_1,vehicle_image_conf_1,VEHICLE_image_2,vehicle_image_conf_2,VEHICLE_image_3,vehicle_image_conf_3,speed_m_s,noise_dB
2025-02-15 17:55:05,art studio,0.25,artists loft,0.23,art gallery,0.21,art school,0.10,booth/indoor,0.09,indoor,Still,67,Indoor in Supermarket,Bird,0.15,"Pigeon, dove",0.08,"Inside, small room",0.03,msub,0.74,sbahn,0.18,e-bus,0.06,tram,0.39,msub,0.16,train,0.15,0.00,-42.63
2025-02-15 17:55:10,butchers shop,0.13,hardware store,0.11,supermarket,0.09,pet shop,0.09,candy store,0.08,indoor,Still,67,Indoor in Supermarket,"Inside, large room or hall",0.01,"Fire engine, fire truck (siren)",0.00,Toot,0.00,msub,0.73,sbahn,0.10,osub,0.09,bus,0.37,train,0.16,tram,0.16,0.21,-41.51
2025-02-15 17:55:15,general store/indoor,0.28,drugstore,0.14,delicatessen,0.12,gift shop,0.11,pharmacy,0.06,indoor,Still,67,Indoor in Supermarket,"Outside, rural or natural",0.06,Bird,0.06,Environmental noise,0.04,sbahn,0.81,msub,0.10,tram,0.05,bus,0.37,tram,0.17,msub,0.15,0.38,-41.51
2025-02-15 17:55:20,department store,0.12,jewelry shop,0.10,bakery/shop,0.09,coffee shop,0.09,ice cream parlor,0.09,indoor,Unknown,40,Indoor in Supermarket,"Inside, small room",0.04,Bird,0.03,"Pigeon, dove",0.02,e-bus,0.85,bus,0.05,sbahn,0.05,tram,0.37,msub,0.17,bus,0.16,0.58,-39.87
2025-02-15 17:55:25,department store,0.12,jewelry shop,0.10,bakery/shop,0.09,coffee shop,0.09,ice cream parlor,0.09,indoor,Unknown,40,Indoor in Supermarket,"Inside, small room",0.06,Bird,0.03,"Inside, large room or hall",0.02,sbahn,0.42,e-bus,0.27,msub,0.18,msub,0.28,bus,0.22,tram,0.18,0.49,-40.96
2025-02-15 17:55:30,department store,0.29,supermarket,0.08,bazaar/indoor,0.07,flea market/indoor,0.07,market/indoor,0.07,indoor,Unknown,40,Indoor in Supermarket,"Outside, rural or natural",0.02,"Pigeon, dove",0.01,Bird,0.01,msub,0.61,osub,0.19,sbahn,0.16,msub,0.28,bus,0.22,tram,0.18,0.21,-41.93
2025-02-15 17:55:35,sushi bar,0.20,ice cream parlor,0.08,restaurant kitchen,0.08,bakery/shop,0.06,delicatessen,0.06,indoor,On Foot,89,Indoor in Supermarket,"Inside, small room",0.15,"Inside, large room or hall",0.02,Drawer open or close,0.02,sbahn,0.62,bus,0.11,e-bus,0.10,bus,0.36,tram,0.18,msub,0.16,0.80,-42.75
2025-02-15 17:55:40,delicatessen,0.27,department store,0.12,supermarket,0.11,ice cream parlor,0.11,butchers shop,0.08,indoor,On Foot,89,Indoor in Supermarket,"Outside, rural or natural",0.03,Bird,0.02,"Outside, urban or manmade",0.01,msub,0.59,sbahn,0.26,tram,0.07,bus,0.39,tram,0.16,train,0.15,0.67,-43.05
2025-02-15 17:55:45,department store,0.21,bowling alley,0.12,food court,0.12,supermarket,0.06,flea market/indoor,0.04,indoor,On Foot,89,Indoor in Supermarket,"Inside, small room",0.20,"Inside, large room or hall",0.02,"Dishes, pots, and pans",0.00,msub,0.53,sbahn,0.39,e-bus,0.06,msub,0.36,bus,0.17,train,0.16,0.93,-44.49
2025-02-15 17:55:50,pet shop,0.15,supermarket,0.11,flea market/indoor,0.06,gift shop,0.05,aquarium,0.04,indoor,On Foot,87,Indoor in Supermarket,"Inside, small room",0.03,"Inside, large room or hall",0.02,Bus,0.01,sbahn,0.83,msub,0.07,e-bus,0.04,bus,0.37,msub,0.16,tram,0.16,0.52,-42.91
