timestamp,PLACES_top1,places_top1_conf,PLACES_top2,places_top2_conf,PLACES_top3,places_top3_conf,PLACES_top4,places_top4_conf,PLACES_top5,places_top5_conf,SCENE_TYPE,ACT,ACT_confidence,status_gt,YAMNET_top1,YAMNET_conf_1,YAMNET_top2,YAMNET_conf_2,YAMNET_top3,YAMNET_conf_3,VEHICLE_audio_1,vehicle_audio_conf_1,VEHICLE_audio_2,vehicle_audio_conf_2,VEHICLE_audio_3,vehicle_audio_conf_3,VEHICLE_image_1,vehicle_image_conf_1,VEHICLE_image_2,vehicle_image_conf_2,VEHICLE_image_3,vehicle_image_conf_3,speed_m_s,noise_dB
2025-02-17 14:12:11,landfill,0.33,excavation,0.23,slum,0.21,construction site,0.06,trench,0.05,outdoor,On Foot,88,Outdoor on Foot,"Outside, rural or natural",0.26,Wind,0.08,Rustling leaves,0.06,msub,0.85,sbahn,0.11,tram,0.04,msub,0.33,bus,0.19,tram,0.16,0.28,-26.49
2025-02-17 14:12:16,landfill,0.70,slum,0.13,excavation,0.08,construction site,0.02,junkyard,0.01,outdoor,On Foot,88,Outdoor on Foot,"Outside, rural or natural",0.26,Rustling leaves,0.03,Wind,0.02,msub,0.97,sbahn,0.02,tram,0.00,bus,0.39,msub,0.15,train,0.15,0.55,-35.55
2025-02-17 14:12:21,landfill,0.56,slum,0.35,excavation,0.04,beach house,0.01,junkyard,0.01,outdoor,On Foot,88,Outdoor on Foot,"Outside, rural or natural",0.20,Rustling leaves,0.03,"Outside, urban or manmade",0.02,msub,0.95,sbahn,0.04,tram,0.01,bus,0.34,train,0.18,msub,0.16,0.21,-36.97
2025-02-17 14:12:26,landfill,0.56,slum,0.35,excavation,0.04,beach house,0.01,junkyard,0.01,outdoor,Unknown,40,Outdoor on Foot,"Outside, rural or natural",0.11,Bird,0.06,Rustling leaves,0.01,msub,0.87,sbahn,0.10,tram,0.02,bus,0.40,train,0.15,msub,0.15,0.20,-50.17
2025-02-17 14:12:31,snowfield,0.17,creek,0.12,ice floe,0.09,river,0.04,trench,0.04,outdoor,Unknown,40,Outdoor on Foot,"Outside, rural or natural",0.15,Rustling leaves,0.06,"Inside, small room",0.04,sbahn,0.63,msub,0.33,tram,0.03,bus,0.40,train,0.15,msub,0.15,1.10,-50.94
2025-02-17 14:12:36,alley,0.20,street,0.05,fire escape,0.00,plaza,0.00,arch,0.00,outdoor,Unknown,40,Outdoor on Foot,"Outside, rural or natural",0.20,Rustling leaves,0.03,Bird,0.02,sbahn,0.65,msub,0.34,tram,0.02,train,0.40,tram,0.15,bus,0.15,1.16,-45.77
2025-02-17 14:12:41,street,0.26,alley,0.14,slum,0.03,canal/urban,0.01,courtyard,0.01,outdoor,Unknown,40,Outdoor on Foot,"Outside, rural or natural",0.20,"Inside, small room",0.04,Rustling leaves,0.04,sbahn,0.61,msub,0.35,tram,0.03,tram,0.24,msub,0.23,bus,0.20,1.16,-51.98
2025-02-17 14:12:46,slum,0.27,street,0.19,alley,0.06,trench,0.03,bazaar/outdoor,0.02,outdoor,Unknown,40,Outdoor on Foot,"Outside, rural or natural",0.26,Rustling leaves,0.06,Wind,0.02,msub,0.99,sbahn,0.01,tram,0.00,msub,0.24,tram,0.21,train,0.21,1.17,-50.57
2025-02-17 14:12:51,alley,0.14,street,0.10,slum,0.09,canal/urban,0.04,canal/natural,0.04,outdoor,Unknown,40,Outdoor on Foot,"Outside, rural or natural",0.15,Rustling leaves,0.06,Wind,0.02,msub,0.78,sbahn,0.16,tram,0.05,tram,0.33,bus,0.18,msub,0.17,1.20,-46.39
2025-02-17 14:12:56,alley,0.43,excavation,0.04,street,0.04,construction site,0.01,campsite,0.01,outdoor,On Foot,98,Outdoor on Foot,"Outside, rural or natural",0.26,Rustling leaves,0.06,Wind,0.03,msub,0.86,sbahn,0.14,tram,0.01,msub,0.38,train,0.16,tram,0.15,1.29,-48.46
2025-02-17 14:13:01,alley,0.45,street,0.04,slum,0.00,railroad track,0.00,plaza,0.00,outdoor,On Foot,98,Outdoor on Foot,"Inside, small room",0.08,"Outside, rural or natural",0.03,"Inside, large room or hall",0.01,sbahn,0.65,msub,0.34,osub,0.01,msub,0.30,bus,0.19,train,0.18,1.22,-44.37
2025-02-17 14:13:07,slum,0.17,alley,0.15,street,0.06,crevasse,0.01,glacier,0.01,outdoor,On Foot,98,Outdoor on Foot,"Outside, rural or natural",0.26,Rustling leaves,0.03,Wind,0.01,msub,0.91,sbahn,0.08,tram,0.00,tram,0.34,bus,0.18,train,0.16,1.33,-48.62
2025-02-17 14:13:12,alley,0.18,slum,0.07,construction site,0.07,railroad track,0.04,street,0.03,outdoor,On Foot,94,Outdoor on Foot,"Outside, rural or natural",0.26,Rustling leaves,0.11,Wind,0.03,msub,0.80,sbahn,0.19,tram,0.01,tram,0.37,msub,0.17,train,0.16,1.26,-49.03
2025-02-17 14:13:17,excavation,0.30,slum,0.10,alley,0.08,construction site,0.07,valley,0.07,outdoor,On Foot,94,Outdoor on Foot,"Outside, rural or natural",0.20,Rustling leaves,0.04,Bird,0.01,msub,0.61,sbahn,0.38,tram,0.00,msub,0.28,tram,0.20,bus,0.18,1.27,-50.07
2025-02-17 14:13:22,excavation,0.30,slum,0.10,alley,0.08,construction site,0.07,valley,0.07,outdoor,On Foot,94,Outdoor on Foot,"Outside, rural or natural",0.20,Rustling leaves,0.06,"Inside, small room",0.03,msub,0.68,sbahn,0.28,tram,0.03,train,0.32,tram,0.20,bus,0.18,1.34,-49.09
2025-02-17 14:13:27,excavation,0.47,alley,0.09,bridge,0.07,construction site,0.05,viaduct,0.04,outdoor,On Foot,97,Outdoor on Foot,"Outside, rural or natural",0.26,Rustling leaves,0.11,Wind,0.03,msub,0.92,sbahn,0.06,tram,0.01,train,0.32,osub,0.18,msub,0.18,1.31,-43.72
2025-02-17 14:13:32,slum,0.53,alley,0.13,street,0.03,bridge,0.02,canal/urban,0.02,outdoor,On Foot,97,Outdoor on Foot,"Outside, rural or natural",0.15,Rustling leaves,0.03,"Inside, small room",0.03,msub,0.82,sbahn,0.17,tram,0.01,bus,0.38,tram,0.16,msub,0.16,1.31,-49.92
2025-02-17 14:13:37,alley,0.25,excavation,0.11,railroad track,0.05,junkyard,0.05,street,0.04,outdoor,On Foot,97,Outdoor on Foot,"Outside, rural or natural",0.20,Bird,0.02,Rustling leaves,0.02,msub,0.88,sbahn,0.12,tram,0.00,tram,0.30,train,0.21,osub,0.17,1.21,-48.05
