timestamp,PLACES_top1,places_top1_conf,PLACES_top2,places_top2_conf,PLACES_top3,places_top3_conf,PLACES_top4,places_top4_conf,PLACES_top5,places_top5_conf,SCENE_TYPE,ACT,ACT_confidence,status_gt,YAMNET_top1,YAMNET_conf_1,YAMNET_top2,YAMNET_conf_2,YAMNET_top3,YAMNET_conf_3,VEHICLE_audio_1,vehicle_audio_conf_1,VEHICLE_audio_2,vehicle_audio_conf_2,VEHICLE_audio_3,vehicle_audio_conf_3,VEHICLE_image_1,vehicle_image_conf_1,VEHICLE_image_2,vehicle_image_conf_2,VEHICLE_image_3,vehicle_image_conf_3,speed_m_s,noise_dB
2025-02-18 16:52:23,parking lot,0.28,repair shop,0.11,crosswalk,0.07,excavation,0.05,auto factory,0.04,outdoor,On Foot,92,Vehicle in Bus,"Inside, small room",0.01,"Inside, large room or hall",0.01,Bird,0.01,sbahn,0.62,e-bus,0.22,tram,0.08,msub,0.24,tram,0.24,bus,0.19,0.00,-34.90
2025-02-18 16:52:28,airplane cabin,0.16,train interior,0.07,science museum,0.07,sushi bar,0.06,restaurant kitchen,0.05,indoor,On Foot,92,Vehicle in Bus,"Inside, small room",0.06,"Inside, large room or hall",0.01,"Outside, urban or manmade",0.00,sbahn,0.75,e-bus,0.18,tram,0.03,msub,0.32,bus,0.19,tram,0.18,0.51,-36.07
2025-02-18 16:52:33,airplane cabin,0.47,train interior,0.24,bus interior,0.05,natural history museum,0.04,science museum,0.02,indoor,On Foot,92,Vehicle in Bus,"Inside, small room",0.04,Bird,0.02,"Outside, urban or manmade",0.02,bus,0.42,e-bus,0.29,tram,0.19,tram,0.40,msub,0.15,train,0.15,0.15,-34.09
2025-02-18 16:52:38,veterinarians office,0.29,bowling alley,0.14,beauty salon,0.06,desert/vegetation,0.05,crosswalk,0.02,indoor,On Foot,92,Vehicle in Bus,Car,0.33,Motor vehicle (road),0.26,"Outside, urban or manmade",0.11,tram,0.36,msub,0.25,bus,0.23,msub,0.28,tram,0.20,train,0.19,0.91,-26.48
2025-02-18 16:52:43,repair shop,0.11,excavation,0.05,parking lot,0.05,shoe shop,0.04,playground,0.03,indoor,On Foot,92,Vehicle in Bus,"Outside, urban or manmade",0.11,"Outside, rural or natural",0.08,Motor vehicle (road),0.08,e-bus,0.35,bus,0.33,tram,0.14,msub,0.27,tram,0.21,bus,0.20,2.27,-31.60
2025-02-18 16:52:48,train interior,0.54,bus interior,0.22,airplane cabin,0.15,clothing store,0.01,bazaar/indoor,0.01,indoor,Unknown,40,Vehicle in Bus,"Outside, urban or manmade",0.04,"Pigeon, dove",0.04,"Outside, rural or natural",0.03,sbahn,0.62,msub,0.21,tram,0.09,bus,0.33,msub,0.19,tram,0.17,5.75,-32.65
2025-02-18 16:52:53,train interior,0.54,bus interior,0.22,airplane cabin,0.15,clothing store,0.01,bazaar/indoor,0.01,indoor,Unknown,40,Vehicle in Bus,Rustling leaves,0.11,"Outside, rural or natural",0.06,Wind,0.06,sbahn,0.85,tram,0.08,msub,0.06,bus,0.33,msub,0.19,tram,0.17,7.12,-31.33
2025-02-18 16:52:58,airplane cabin,0.45,escalator/indoor,0.15,natural history museum,0.05,airport terminal,0.03,parking garage/indoor,0.02,indoor,Unknown,40,Vehicle in Bus,"Outside, rural or natural",0.11,Wind,0.03,"Outside, urban or manmade",0.03,msub,0.96,sbahn,0.02,tram,0.01,bus,0.25,osub,0.20,tram,0.20,8.84,-32.60
2025-02-18 16:53:03,airplane cabin,0.35,train interior,0.06,airport terminal,0.04,office cubicles,0.03,bus interior,0.03,indoor,Unknown,40,Vehicle in Bus,"Outside, rural or natural",0.06,"Inside, small room",0.04,Rustling leaves,0.03,msub,0.53,sbahn,0.40,tram,0.05,tram,0.39,msub,0.16,bus,0.15,8.81,-30.61
2025-02-18 16:53:08,airplane cabin,0.78,train interior,0.14,bus interior,0.03,boat deck,0.01,butchers shop,0.00,indoor,Unknown,40,Vehicle in Bus,"Outside, rural or natural",0.20,Rustling leaves,0.04,Wind,0.03,msub,0.99,osub,0.01,tram,0.00,msub,0.29,tram,0.22,train,0.17,8.95,-32.66
