timestamp,PLACES_top1,places_top1_conf,PLACES_top2,places_top2_conf,PLACES_top3,places_top3_conf,PLACES_top4,places_top4_conf,PLACES_top5,places_top5_conf,SCENE_TYPE,ACT,ACT_confidence,status_gt,YAMNET_top1,YAMNET_conf_1,YAMNET_top2,YAMNET_conf_2,YAMNET_top3,YAMNET_conf_3,VEHICLE_audio_1,vehicle_audio_conf_1,VEHICLE_audio_2,vehicle_audio_conf_2,VEHICLE_audio_3,vehicle_audio_conf_3,VEHICLE_image_1,vehicle_image_conf_1,VEHICLE_image_2,vehicle_image_conf_2,VEHICLE_image_3,vehicle_image_conf_3,speed_m_s,noise_dB
2025-02-17 15:28:15,train interior,0.64,bus interior,0.18,berth,0.02,airplane cabin,0.02,subway station/platform,0.01,indoor,On Foot,96,Vehicle in E-Bus,"Inside, small room",0.15,Typing,0.03,Vibration,0.03,e-bus,0.70,msub,0.13,sbahn,0.09,tram,0.38,bus,0.16,msub,0.15,1.03,-36.59
2025-02-17 15:28:20,bus interior,0.26,train interior,0.16,parking lot,0.09,parking garage/indoor,0.07,crosswalk,0.05,indoor,On Foot,96,Vehicle in E-Bus,"Inside, small room",0.26,Typing,0.02,"Inside, large room or hall",0.02,e-bus,0.53,sbahn,0.37,bus,0.06,bus,0.37,tram,0.17,osub,0.15,5.14,-34.16
2025-02-17 15:28:25,bus interior,0.48,train interior,0.37,parking lot,0.02,heliport,0.02,parking garage/indoor,0.01,indoor,On Foot,96,Vehicle in E-Bus,"Outside, rural or natural",0.11,"Outside, urban or manmade",0.03,Bird,0.01,msub,0.92,sbahn,0.04,tram,0.03,bus,0.40,tram,0.15,msub,0.15,4.76,-32.11
2025-02-17 15:28:30,train interior,0.23,bus interior,0.22,train station/platform,0.06,landing deck,0.05,heliport,0.04,indoor,On Foot,96,Vehicle in E-Bus,Typing,0.74,Computer keyboard,0.67,"Inside, small room",0.01,tram,0.28,bus,0.26,sbahn,0.21,bus,0.40,tram,0.15,train,0.15,1.39,-34.46
2025-02-17 15:28:35,excavation,0.26,bus interior,0.18,train station/platform,0.14,train interior,0.08,railroad track,0.05,indoor,On Foot,96,Vehicle in E-Bus,"Inside, small room",0.11,Bird,0.08,"Dishes, pots, and pans",0.06,sbahn,0.67,e-bus,0.20,bus,0.05,bus,0.40,tram,0.15,train,0.15,3.42,-38.09
2025-02-17 15:28:40,excavation,0.26,bus interior,0.18,train station/platform,0.14,train interior,0.08,railroad track,0.05,indoor,In Vehicle,97,Vehicle in E-Bus,"Inside, small room",0.20,Bird,0.03,"Inside, large room or hall",0.02,e-bus,0.52,sbahn,0.23,bus,0.14,bus,0.38,tram,0.16,msub,0.15,4.65,-33.28
2025-02-17 15:28:45,bus interior,0.74,train interior,0.21,berth,0.01,repair shop,0.01,excavation,0.01,indoor,In Vehicle,97,Vehicle in E-Bus,"Inside, small room",0.15,Typing,0.06,Bird,0.04,e-bus,0.37,sbahn,0.23,osub,0.21,bus,0.38,tram,0.16,msub,0.15,6.55,-34.72
2025-02-17 15:28:50,bus interior,0.43,train interior,0.33,train station/platform,0.07,parking garage/indoor,0.06,subway station/platform,0.04,indoor,In Vehicle,97,Vehicle in E-Bus,"Inside, small room",0.20,"Dishes, pots, and pans",0.11,"Cutlery, silverware",0.06,sbahn,0.74,e-bus,0.17,osub,0.08,bus,0.40,tram,0.15,msub,0.15,5.25,-37.69
2025-02-17 15:28:55,parking garage/indoor,0.18,landing deck,0.17,parking lot,0.11,bus interior,0.08,train interior,0.08,outdoor,In Vehicle,96,Vehicle in E-Bus,"Inside, small room",0.15,Typing,0.06,Computer keyboard,0.03,e-bus,0.73,sbahn,0.17,bus,0.06,tram,0.36,bus,0.18,msub,0.16,3.34,-36.65
2025-02-17 15:29:00,bus interior,0.57,train interior,0.39,parking garage/indoor,0.01,airplane cabin,0.00,berth,0.00,indoor,In Vehicle,96,Vehicle in E-Bus,"Inside, small room",0.26,"Inside, large room or hall",0.03,"Dishes, pots, and pans",0.02,sbahn,0.43,e-bus,0.24,msub,0.16,bus,0.40,tram,0.15,msub,0.15,4.48,-34.57
2025-02-17 15:29:05,train station/platform,0.25,excavation,0.16,subway station/platform,0.12,bus interior,0.12,train interior,0.09,indoor,In Vehicle,96,Vehicle in E-Bus,"Inside, small room",0.11,"Inside, large room or hall",0.02,Train,0.01,e-bus,0.51,bus,0.25,sbahn,0.18,bus,0.40,msub,0.15,tram,0.15,3.15,-39.71
