timestamp,PLACES_top1,places_top1_conf,PLACES_top2,places_top2_conf,PLACES_top3,places_top3_conf,PLACES_top4,places_top4_conf,PLACES_top5,places_top5_conf,SCENE_TYPE,ACT,ACT_confidence,status_gt,YAMNET_top1,YAMNET_conf_1,YAMNET_top2,YAMNET_conf_2,YAMNET_top3,YAMNET_conf_3,VEHICLE_audio_1,vehicle_audio_conf_1,VEHICLE_audio_2,vehicle_audio_conf_2,VEHICLE_audio_3,vehicle_audio_conf_3,VEHICLE_image_1,vehicle_image_conf_1,VEHICLE_image_2,vehicle_image_conf_2,VEHICLE_image_3,vehicle_image_conf_3,speed_m_s,noise_dB
2025-02-18 18:07:50,bus interior,0.41,train interior,0.27,airplane cabin,0.08,repair shop,0.04,subway station/platform,0.03,indoor,In Vehicle,96,Vehicle in E-Bus,"Inside, small room",0.08,"Outside, rural or natural",0.04,Bird,0.02,sbahn,0.91,e-bus,0.04,msub,0.02,bus,0.39,tram,0.15,msub,0.15,0.00,-42.69
2025-02-18 18:07:55,repair shop,0.17,restaurant kitchen,0.13,sushi bar,0.05,fire station,0.05,amusement arcade,0.03,indoor,In Vehicle,96,Vehicle in E-Bus,"Inside, small room",0.04,Bird,0.03,"Pigeon, dove",0.02,sbahn,0.93,tram,0.03,bus,0.02,tram,0.40,msub,0.15,bus,0.15,2.36,-36.70
2025-02-18 18:08:00,train interior,0.15,amusement arcade,0.13,bus interior,0.08,fire station,0.07,sushi bar,0.04,indoor,In Vehicle,96,Vehicle in E-Bus,"Inside, small room",0.06,"Inside, large room or hall",0.01,"Dishes, pots, and pans",0.00,sbahn,0.89,msub,0.10,e-bus,0.01,bus,0.39,tram,0.16,msub,0.15,6.73,-38.29
2025-02-18 18:08:05,amusement arcade,0.26,bus interior,0.18,train interior,0.09,repair shop,0.07,fire station,0.06,indoor,In Vehicle,96,Vehicle in E-Bus,"Pigeon, dove",0.11,Bird,0.11,"Outside, urban or manmade",0.06,msub,0.31,sbahn,0.29,tram,0.27,bus,0.40,tram,0.15,osub,0.15,10.47,-29.10
2025-02-18 18:08:10,train interior,0.40,bus interior,0.34,construction site,0.07,fire station,0.03,airplane cabin,0.03,indoor,In Vehicle,96,Vehicle in E-Bus,"Inside, small room",0.26,Bird,0.02,"Inside, large room or hall",0.01,sbahn,0.93,e-bus,0.04,osub,0.02,bus,0.39,tram,0.16,msub,0.15,10.83,-36.82
2025-02-18 18:08:15,train interior,0.40,bus interior,0.34,construction site,0.07,fire station,0.03,airplane cabin,0.03,indoor,Unknown,40,Vehicle in E-Bus,"Inside, small room",0.26,Bird,0.02,"Inside, large room or hall",0.01,sbahn,0.80,tram,0.10,msub,0.04,bus,0.40,msub,0.15,tram,0.15,9.96,-37.60
2025-02-18 18:08:20,bus interior,0.66,airplane cabin,0.24,train interior,0.04,subway station/platform,0.02,raft,0.01,indoor,Unknown,40,Vehicle in E-Bus,Bird,0.03,"Outside, rural or natural",0.02,"Outside, urban or manmade",0.01,sbahn,0.53,e-bus,0.25,bus,0.08,bus,0.40,msub,0.15,tram,0.15,9.18,-33.36
2025-02-18 18:08:25,bus interior,0.52,train interior,0.42,airplane cabin,0.05,subway station/platform,0.00,assembly line,0.00,indoor,Unknown,40,Vehicle in E-Bus,"Inside, small room",0.11,"Outside, rural or natural",0.01,"Inside, large room or hall",0.00,sbahn,0.91,e-bus,0.04,msub,0.04,bus,0.40,tram,0.15,osub,0.15,08.07,-36.68
2025-02-18 18:08:30,bus interior,0.61,train interior,0.14,airplane cabin,0.08,assembly line,0.05,auto factory,0.02,indoor,Unknown,40,Vehicle in E-Bus,"Inside, small room",0.11,"Outside, rural or natural",0.02,Wind,0.02,sbahn,0.83,e-bus,0.07,msub,0.04,bus,0.40,tram,0.15,msub,0.15,6.99,-41.06
2025-02-18 18:08:35,bus interior,0.86,train interior,0.11,airplane cabin,0.02,subway station/platform,0.00,assembly line,0.00,indoor,Unknown,40,Vehicle in E-Bus,"Inside, small room",0.01,"Vehicle horn, car horn, honking",0.00,Motor vehicle (road),0.00,sbahn,0.87,e-bus,0.09,osub,0.01,bus,0.40,tram,0.15,msub,0.15,05.03,-42.77
2025-02-18 18:08:40,bus interior,0.81,train interior,0.13,airplane cabin,0.03,subway station/platform,0.01,amusement arcade,0.00,indoor,Unknown,40,Vehicle in E-Bus,"Inside, small room",0.15,"Inside, large room or hall",0.01,"Outside, rural or natural",0.00,sbahn,0.75,e-bus,0.24,osub,0.00,bus,0.40,msub,0.15,tram,0.15,2.93,-41.59
2025-02-18 18:08:45,bus interior,0.81,train interior,0.14,airplane cabin,0.04,amusement arcade,0.01,subway station/platform,0.00,indoor,Unknown,40,Vehicle in E-Bus,"Outside, rural or natural",0.02,"Inside, small room",0.01,Bird,0.01,sbahn,0.84,msub,0.10,osub,0.03,bus,0.40,msub,0.15,tram,0.15,0.97,-41.35
2025-02-18 18:08:50,bus interior,0.43,train interior,0.23,airplane cabin,0.08,assembly line,0.07,repair shop,0.03,indoor,Unknown,40,Vehicle in E-Bus,"Inside, small room",0.15,Bird,0.01,Typing,0.01,sbahn,0.96,osub,0.02,msub,0.01,bus,0.40,tram,0.15,msub,0.15,0.46,-41.80
2025-02-18 18:08:55,bus interior,0.58,train interior,0.17,assembly line,0.06,auto factory,0.04,repair shop,0.03,indoor,Still,97,Vehicle in E-Bus,"Inside, small room",0.20,Typing,0.04,Computer keyboard,0.03,sbahn,0.89,e-bus,0.08,osub,0.01,bus,0.40,tram,0.15,osub,0.15,0.14,-40.01
2025-02-18 18:09:00,bus interior,0.72,train interior,0.13,airplane cabin,0.04,assembly line,0.03,auto factory,0.01,indoor,Still,97,Vehicle in E-Bus,"Inside, small room",0.15,Bird,0.02,"Inside, large room or hall",0.01,sbahn,0.89,e-bus,0.09,osub,0.01,bus,0.40,tram,0.15,msub,0.15,2.83,-38.95
2025-02-18 18:09:05,bus interior,0.72,train interior,0.13,airplane cabin,0.04,assembly line,0.03,auto factory,0.01,indoor,Still,97,Vehicle in E-Bus,"Inside, small room",0.11,"Inside, large room or hall",0.01,"Dishes, pots, and pans",0.00,sbahn,0.99,e-bus,0.01,msub,0.00,bus,0.40,tram,0.15,msub,0.15,5.46,-37.40
2025-02-18 18:09:10,bus interior,0.59,train interior,0.15,amusement arcade,0.09,airplane cabin,0.04,repair shop,0.02,indoor,Still,97,Vehicle in E-Bus,"Inside, small room",0.06,"Inside, large room or hall",0.02,Train,0.02,sbahn,0.98,e-bus,0.01,msub,0.00,bus,0.40,tram,0.15,msub,0.15,8.10,-30.91
2025-02-18 18:09:15,bus interior,0.60,train interior,0.18,airplane cabin,0.12,subway station/platform,0.03,train station/platform,0.02,indoor,Still,97,Vehicle in E-Bus,Car,0.04,Motor vehicle (road),0.04,"Inside, small room",0.04,e-bus,0.74,sbahn,0.12,tram,0.06,bus,0.39,tram,0.15,msub,0.15,7.69,-29.41
2025-02-18 18:09:20,bus interior,0.63,train interior,0.23,airplane cabin,0.04,subway station/platform,0.03,assembly line,0.02,indoor,Still,97,Vehicle in E-Bus,"Inside, small room",0.02,"Outside, urban or manmade",0.02,Motor vehicle (road),0.01,sbahn,0.72,bus,0.14,e-bus,0.12,bus,0.40,tram,0.15,msub,0.15,4.55,-42.08
2025-02-18 18:09:25,bus interior,0.60,train interior,0.13,airplane cabin,0.10,subway station/platform,0.04,train station/platform,0.02,indoor,Unknown,40,Vehicle in E-Bus,"Inside, small room",0.02,Bird,0.01,"Inside, large room or hall",0.01,sbahn,0.83,msub,0.10,e-bus,0.02,bus,0.40,msub,0.15,tram,0.15,0.12,-41.59
2025-02-18 18:09:30,bus interior,0.58,airplane cabin,0.18,train interior,0.13,assembly line,0.03,parking garage/indoor,0.01,indoor,Unknown,40,Vehicle in E-Bus,"Inside, small room",0.20,"Inside, large room or hall",0.02,Bird,0.01,e-bus,0.50,sbahn,0.20,msub,0.16,bus,0.40,tram,0.15,msub,0.15,0.05,-39.04
2025-02-18 18:09:35,bus interior,0.61,parking garage/indoor,0.26,train interior,0.07,assembly line,0.01,airport terminal,0.01,indoor,Unknown,40,Vehicle in E-Bus,"Inside, small room",0.08,Motor vehicle (road),0.03,"Outside, urban or manmade",0.03,e-bus,0.57,sbahn,0.26,bus,0.12,bus,0.39,tram,0.16,msub,0.15,0.11,-38.48
2025-02-18 18:09:40,subway station/platform,0.17,assembly line,0.16,repair shop,0.13,bus interior,0.11,train interior,0.10,indoor,Unknown,40,Vehicle in E-Bus,"Inside, small room",0.03,Car,0.01,"Outside, rural or natural",0.01,sbahn,0.77,e-bus,0.18,bus,0.03,bus,0.40,tram,0.15,msub,0.15,0.04,-39.47
2025-02-18 18:09:45,parking garage/indoor,0.21,bus interior,0.20,assembly line,0.06,train interior,0.05,repair shop,0.04,indoor,Unknown,40,Vehicle in E-Bus,"Inside, small room",0.04,"Inside, large room or hall",0.03,Car,0.01,e-bus,0.56,sbahn,0.29,bus,0.10,tram,0.34,bus,0.19,msub,0.16,2.59,-38.21
