timestamp,PLACES_top1,places_top1_conf,PLACES_top2,places_top2_conf,PLACES_top3,places_top3_conf,PLACES_top4,places_top4_conf,PLACES_top5,places_top5_conf,SCENE_TYPE,ACT,ACT_confidence,status_gt,YAMNET_top1,YAMNET_conf_1,YAMNET_top2,YAMNET_conf_2,YAMNET_top3,YAMNET_conf_3,VEHICLE_audio_1,vehicle_audio_conf_1,VEHICLE_audio_2,vehicle_audio_conf_2,VEHICLE_audio_3,vehicle_audio_conf_3,VEHICLE_image_1,vehicle_image_conf_1,VEHICLE_image_2,vehicle_image_conf_2,VEHICLE_image_3,vehicle_image_conf_3,speed_m_s,noise_dB
2025-02-15 15:44:20,bowling alley,0.43,parking lot,0.07,subway station/platform,0.05,raceway,0.04,crosswalk,0.03,indoor,Unknown,40,Vehicle in Subway,Train,0.08,"Subway, metro, underground",0.08,"Railroad car, train wagon",0.03,msub,0.70,e-bus,0.14,bus,0.09,msub,0.40,tram,0.15,bus,0.15,0.04,-32.82
2025-02-15 15:44:25,slum,0.18,butchers shop,0.13,bazaar/outdoor,0.13,flea market/indoor,0.08,fabric store,0.07,indoor,Unknown,40,Vehicle in Subway,"Inside, small room",0.06,Train,0.04,Motor vehicle (road),0.04,msub,0.75,osub,0.08,e-bus,0.08,msub,0.30,tram,0.22,bus,0.16,0.04,-31.87
2025-02-15 15:44:30,airplane cabin,0.26,train interior,0.19,dressing room,0.10,stage/outdoor,0.04,music studio,0.03,indoor,Unknown,40,Vehicle in Subway,Train,0.04,"Outside, urban or manmade",0.02,"Subway, metro, underground",0.02,msub,0.80,osub,0.06,bus,0.05,msub,0.40,bus,0.15,tram,0.15,0.04,-32.20
2025-02-15 15:44:35,train interior,0.24,beer hall,0.13,flea market/indoor,0.13,market/indoor,0.11,bazaar/indoor,0.06,indoor,Unknown,40,Vehicle in Subway,Train,0.04,Bus,0.04,"Subway, metro, underground",0.04,msub,0.94,sbahn,0.05,osub,0.00,msub,0.40,tram,0.15,bus,0.15,0.00,-34.48
2025-02-15 15:44:40,train interior,0.24,beer hall,0.13,flea market/indoor,0.13,market/indoor,0.11,bazaar/indoor,0.06,indoor,Unknown,40,Vehicle in Subway,"Inside, public space",0.02,"Inside, large room or hall",0.01,Train,0.01,msub,0.71,osub,0.12,tram,0.08,tram,0.36,msub,0.18,bus,0.16,0.00,-32.82
2025-02-15 15:44:45,train interior,0.68,clothing store,0.07,cockpit,0.04,repair shop,0.03,airplane cabin,0.03,indoor,Unknown,40,Vehicle in Subway,"Inside, small room",0.11,"Outside, rural or natural",0.03,Wind,0.03,sbahn,0.75,msub,0.13,osub,0.08,tram,0.36,msub,0.18,bus,0.16,0.00,-32.93
2025-02-15 15:44:50,train interior,0.96,bus interior,0.03,airplane cabin,0.00,engine room,0.00,clothing store,0.00,indoor,Unknown,40,Vehicle in Subway,"Outside, rural or natural",0.03,"Outside, urban or manmade",0.03,Train,0.02,bus,0.67,sbahn,0.15,e-bus,0.10,msub,0.40,tram,0.15,train,0.15,0.00,-37.34
2025-02-15 15:44:55,train interior,0.75,airplane cabin,0.13,bus interior,0.05,engine room,0.02,server room,0.01,indoor,Unknown,40,Vehicle in Subway,"Inside, small room",0.04,"Inside, large room or hall",0.02,Car,0.01,sbahn,0.49,msub,0.49,osub,0.01,tram,0.31,msub,0.21,bus,0.16,0.00,-40.01
2025-02-15 15:45:00,train interior,0.58,airplane cabin,0.10,bus interior,0.06,clothing store,0.06,fabric store,0.04,indoor,Unknown,40,Vehicle in Subway,"Inside, small room",0.03,"Pigeon, dove",0.01,Bird,0.01,e-bus,0.77,bus,0.12,sbahn,0.06,msub,0.40,tram,0.15,bus,0.15,0.00,-42.47
2025-02-15 15:45:05,greenhouse/outdoor,0.13,restaurant kitchen,0.12,butchers shop,0.08,escalator/indoor,0.04,elevator/door,0.04,indoor,Unknown,40,Vehicle in Subway,"Inside, small room",0.02,"Inside, large room or hall",0.01,Bird,0.01,msub,0.64,sbahn,0.25,e-bus,0.07,msub,0.40,tram,0.15,train,0.15,0.00,-44.04
2025-02-15 15:45:10,repair shop,0.20,train interior,0.10,restaurant kitchen,0.09,engine room,0.09,escalator/indoor,0.05,indoor,Unknown,40,Vehicle in Subway,"Inside, large room or hall",0.01,"Outside, rural or natural",0.01,"Inside, small room",0.00,msub,0.83,tram,0.09,sbahn,0.05,msub,0.39,tram,0.16,train,0.15,0.00,-37.72
2025-02-15 15:45:15,train interior,0.65,bus interior,0.08,legislative chamber,0.05,conference center,0.02,lecture room,0.01,indoor,Unknown,40,Vehicle in Subway,"Outside, rural or natural",0.01,"Inside, large room or hall",0.00,"Inside, small room",0.00,msub,0.82,sbahn,0.07,tram,0.07,bus,0.27,tram,0.21,msub,0.20,0.00,-40.82
2025-02-15 15:45:20,train interior,0.65,bus interior,0.08,legislative chamber,0.05,conference center,0.02,lecture room,0.01,indoor,Unknown,40,Vehicle in Subway,"Outside, urban or manmade",0.02,"Inside, small room",0.02,"Inside, large room or hall",0.01,sbahn,0.57,msub,0.41,e-bus,0.02,tram,0.38,msub,0.16,train,0.15,0.00,-39.96
2025-02-15 15:45:25,legislative chamber,0.72,conference center,0.05,army base,0.03,booth/indoor,0.03,train interior,0.01,indoor,Unknown,40,Vehicle in Subway,"Inside, small room",0.08,"Ice cream truck, ice cream van",0.03,"Inside, large room or hall",0.03,sbahn,0.77,msub,0.11,e-bus,0.07,msub,0.26,msub,0.16,train,0.15,0.00,-24.56
