timestamp,PLACES_top1,places_top1_conf,PLACES_top2,places_top2_conf,PLACES_top3,places_top3_conf,PLACES_top4,places_top4_conf,PLACES_top5,places_top5_conf,SCENE_TYPE,ACT,ACT_confidence,status_gt,YAMNET_top1,YAMNET_conf_1,YAMNET_top2,YAMNET_conf_2,YAMNET_top3,YAMNET_conf_3,VEHICLE_audio_1,vehicle_audio_conf_1,VEHICLE_audio_2,vehicle_audio_conf_2,VEHICLE_audio_3,vehicle_audio_conf_3,VEHICLE_image_1,vehicle_image_conf_1,VEHICLE_image_2,vehicle_image_conf_2,VEHICLE_image_3,vehicle_image_conf_3,speed_m_s,noise_dB
2025-02-16 18:00:46,bus interior,0.41,train interior,0.35,locker room,0.09,server room,0.04,airplane cabin,0.02,indoor,Tilting,100,Vehicle in Subway,"Inside, small room",0.03,"Inside, large room or hall",0.02,Bird,0.00,sbahn,0.93,e-bus,0.06,osub,0.00,msub,0.40,tram,0.15,train,0.15,0.00,-39.26
2025-02-16 18:00:51,train interior,0.42,bus interior,0.23,server room,0.14,locker room,0.11,airport terminal,0.01,indoor,Unknown,40,Vehicle in Subway,"Inside, small room",0.01,Bird,0.00,"Inside, large room or hall",0.00,msub,0.67,e-bus,0.16,sbahn,0.09,msub,0.40,bus,0.15,tram,0.15,0.00,-42.75
2025-02-16 18:00:56,train interior,0.36,locker room,0.25,bus interior,0.21,server room,0.04,office cubicles,0.02,indoor,Unknown,40,Vehicle in Subway,"Inside, small room",0.03,"Inside, large room or hall",0.01,Car,0.00,sbahn,0.52,e-bus,0.39,msub,0.06,msub,0.40,tram,0.15,train,0.15,0.00,-41.85
2025-02-16 18:01:01,train interior,0.51,bus interior,0.28,locker room,0.09,server room,0.04,airplane cabin,0.01,indoor,Unknown,40,Vehicle in Subway,"Inside, small room",0.04,"Inside, large room or hall",0.02,"Dishes, pots, and pans",0.00,msub,0.51,sbahn,0.39,e-bus,0.07,msub,0.38,tram,0.16,bus,0.15,0.00,-41.94
2025-02-16 18:01:06,train interior,0.46,bus interior,0.22,locker room,0.18,server room,0.03,airport terminal,0.01,indoor,Unknown,40,Vehicle in Subway,"Inside, small room",0.06,"Inside, large room or hall",0.01,"Dishes, pots, and pans",0.00,e-bus,0.49,sbahn,0.47,msub,0.02,msub,0.39,tram,0.16,bus,0.15,0.00,-43.11
2025-02-16 18:01:11,train interior,0.46,bus interior,0.22,locker room,0.18,server room,0.03,airport terminal,0.01,indoor,Unknown,40,Vehicle in Subway,"Inside, small room",0.08,"Outside, rural or natural",0.02,"Inside, large room or hall",0.02,sbahn,0.60,tram,0.17,osub,0.08,msub,0.40,tram,0.15,bus,0.15,0.00,-38.89
2025-02-16 18:01:16,bus interior,0.43,train interior,0.42,server room,0.02,locker room,0.01,parking garage/indoor,0.01,indoor,Unknown,40,Vehicle in Subway,"Inside, small room",0.11,Bird,0.02,"Inside, large room or hall",0.02,sbahn,0.65,e-bus,0.15,bus,0.10,msub,0.40,tram,0.15,bus,0.15,0.00,-39.31
2025-02-16 18:01:21,train interior,0.34,bus interior,0.28,server room,0.11,kennel/outdoor,0.06,locker room,0.05,indoor,Unknown,40,Vehicle in Subway,"Inside, small room",0.04,"Inside, large room or hall",0.02,Train,0.01,msub,0.71,sbahn,0.26,e-bus,0.01,msub,0.36,bus,0.17,tram,0.16,0.05,-39.04
2025-02-16 18:01:26,train interior,0.29,bus interior,0.21,locker room,0.16,server room,0.16,elevator lobby,0.03,indoor,In Vehicle,94,Vehicle in Subway,"Inside, small room",0.01,"Inside, large room or hall",0.00,"Fire engine, fire truck (siren)",0.00,msub,0.61,sbahn,0.27,e-bus,0.09,msub,0.40,tram,0.15,bus,0.15,0.10,-38.89
2025-02-16 18:01:31,bus interior,0.47,train interior,0.39,server room,0.06,locker room,0.03,airplane cabin,0.01,indoor,In Vehicle,94,Vehicle in Subway,"Inside, small room",0.02,"Inside, large room or hall",0.00,"Fire engine, fire truck (siren)",0.00,msub,0.85,sbahn,0.13,osub,0.01,msub,0.40,tram,0.15,bus,0.15,0.10,-45.91
